

Цикл № 1
Шаг  № 1
Точек  639
Линейная потенцио. развертка , ЭДС 307,75мВ, Скорость развертки 5,0001 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.124600               306.410000                 -0.754760
0.249300               306.990000                 -0.254830
0.373900               307.690000                 -0.019480
0.498500               308.400000                 0.193150
0.623200               308.980000                 0.337610
0.747800               309.680000                 0.452860
0.872400               310.150000                 0.519410
0.997100               310.850000                 0.610300
1.121700               311.320000                 0.689840
1.246300               311.910000                 0.753140
1.371000               312.610000                 0.769370
1.495600               313.310000                 0.831050
1.620200               313.890000                 0.861890
1.744900               314.710000                 0.902470
1.869500               315.300000                 0.917080
1.994100               315.880000                 0.952790
2.118800               316.470000                 0.978760
2.243400               317.050000                 1.012800
2.368000               317.870000                 0.991740
2.492700               318.450000                 1.012800
2.617300               319.160000                 1.008000
2.741900               319.740000                 1.011200
2.866600               319.980000                 1.022600
2.991200               320.560000                 1.021000
3.115800               321.140000                 1.035600
3.240500               321.730000                 1.048600
3.365100               322.550000                 1.043700
3.489700               323.370000                 1.053400
3.614400               323.830000                 1.068000
3.739000               324.420000                 1.077800
3.863600               325.120000                 1.081000
3.988200               325.820000                 1.092400
4.112900               326.520000                 1.108600
4.237500               327.230000                 1.110200
4.362100               327.810000                 1.118300
4.486800               328.400000                 1.107000
4.611400               328.980000                 1.118300
4.736000               329.560000                 1.115100
4.860700               330.270000                 1.111900
4.985300               330.850000                 1.105400
5.109900               331.320000                 1.108600
5.234600               332.020000                 1.111900
5.359200               332.610000                 1.097300
5.483800               333.310000                 1.110200
5.608500               333.890000                 1.124800
5.733100               334.480000                 1.116700
5.857700               335.180000                 1.108600
5.982400               335.760000                 1.102100
6.107000               336.350000                 1.098900
6.231600               336.930000                 1.095600
6.356300               337.630000                 1.092400
6.480900               338.220000                 1.079400
6.605500               338.800000                 1.079400
6.730200               339.390000                 1.079400
6.854800               340.090000                 1.072900
6.979400               340.680000                 1.053400
7.104100               341.260000                 1.058300
7.228700               341.850000                 1.046900
7.353300               342.550000                 1.032300
7.478000               343.250000                 1.016100
7.602600               343.720000                 1.029100
7.727200               344.300000                 1.021000
7.851900               345.120000                 1.022600
7.976500               345.590000                 1.014500
8.101100               346.290000                 1.033900
8.225800               346.990000                 1.053400
8.350400               347.570000                 1.058300
8.475000               348.160000                 1.038800
8.599700               348.630000                 1.032300
8.724300               349.560000                 1.025800
8.848900               350.030000                 1.021000
8.973600               350.620000                 1.004700
9.098200               351.440000                 1.003100
9.222800               351.790000                 0.993370
9.347500               352.720000                 0.986870
9.472100               353.310000                 0.962530
9.596700               354.010000                 0.964150
9.721400               354.590000                 0.967400
9.846000               355.290000                 0.972270
9.970600               355.760000                 0.952790
10.095300               356.460000                 0.939800
10.219900               357.050000                 0.926820
10.344500               357.750000                 0.923570
10.469200               358.330000                 0.910590
10.593800               358.920000                 0.905720
10.718400               359.500000                 0.895980
10.843100               360.210000                 0.895980
10.967700               360.790000                 0.897600
11.092300               361.490000                 0.879750
11.217000               362.080000                 0.863510
11.341600               362.660000                 0.857020
11.466200               363.250000                 0.850530
11.590800               363.830000                 0.850530
11.715500               364.530000                 0.871630
11.840100               365.120000                 0.921950
11.964700               365.700000                 0.925190
12.089400               366.400000                 0.894350
12.214000               366.870000                 0.873250
12.338600               367.570000                 0.868380
12.463300               368.160000                 0.865140
12.587900               368.740000                 0.848910
12.712500               369.330000                 0.844040
12.837200               370.150000                 0.837540
12.961800               370.620000                 0.821310
13.086400               371.200000                 0.805080
13.211100               371.780000                 0.800210
13.335700               372.490000                 0.787230
13.460300               373.190000                 0.775860
13.585000               374.010000                 0.771000
13.709600               374.470000                 0.787230
13.834200               375.060000                 0.779110
13.958900               375.760000                 0.774240
14.083500               376.350000                 0.753140
14.208100               377.050000                 0.741780
14.332800               377.870000                 0.735290
14.457400               378.330000                 0.723920
14.582000               378.920000                 0.706070
14.706700               379.740000                 0.706070
14.831300               380.320000                 0.699580
14.955900               380.910000                 0.701200
15.080600               381.490000                 0.719050
15.205200               382.190000                 0.741780
15.329800               382.780000                 0.749890
15.454500               383.360000                 0.759630
15.579100               384.060000                 0.769370
15.703700               384.650000                 0.782360
15.828400               385.230000                 0.787230
15.953000               385.820000                 0.785600
16.077600               386.400000                 0.782360
16.202300               386.990000                 0.775860
16.326900               387.690000                 0.772620
16.451500               388.270000                 0.777490
16.576200               388.860000                 0.758010
16.700800               389.560000                 0.743400
16.825400               390.140000                 0.733660
16.950100               390.730000                 0.728790
17.074700               391.310000                 0.719050
17.199300               392.020000                 0.717430
17.324000               392.600000                 0.710940
17.448600               393.190000                 0.699580
17.573200               393.770000                 0.680100
17.697900               394.360000                 0.671980
17.822500               395.060000                 0.667110
17.947100               395.640000                 0.663870
18.071800               396.230000                 0.662240
18.196400               396.810000                 0.655750
18.321000               397.400000                 0.650880
18.445700               398.100000                 0.647640
18.570300               398.800000                 0.642770
18.694900               399.270000                 0.631400
18.819500               399.970000                 0.626540
18.944200               400.550000                 0.618420
19.068800               401.140000                 0.611930
19.193400               401.960000                 0.615170
19.318100               402.660000                 0.610300
19.442700               403.240000                 0.608680
19.567300               403.590000                 0.600560
19.692000               404.180000                 0.585960
19.816600               404.880000                 0.574590
19.941200               405.470000                 0.569720
20.065900               406.050000                 0.564860
20.190500               406.630000                 0.566480
20.315100               407.450000                 0.564860
20.439800               408.160000                 0.561610
20.564400               408.620000                 0.563230
20.689000               409.440000                 0.558360
20.813700               410.140000                 0.566480
20.938300               410.850000                 0.582710
21.062900               411.310000                 0.603810
21.187600               412.010000                 0.605430
21.312200               412.720000                 0.605430
21.436800               413.300000                 0.608680
21.561500               413.890000                 0.615170
21.686100               414.470000                 0.615170
21.810700               415.170000                 0.624910
21.935400               415.760000                 0.642770
22.060000               416.340000                 0.654130
22.184600               416.930000                 0.670360
22.309300               417.630000                 0.681720
22.433900               418.210000                 0.684970
22.558500               418.800000                 0.678480
22.683200               419.500000                 0.663870
22.807800               420.080000                 0.646010
22.932400               420.670000                 0.629780
23.057100               421.370000                 0.618420
23.181700               421.840000                 0.603810
