

Цикл № 1
Шаг  № 1
Точек  639
Линейная потенцио. развертка , ЭДС 330,27мВ, Скорость развертки 5,0001 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.124600               329.210000                 -0.126610
0.249300               329.800000                 0.170430
0.373900               330.500000                 0.290540
0.498500               331.080000                 0.376570
0.623200               331.670000                 0.436630
0.747800               332.250000                 0.486940
0.872400               332.960000                 0.524280
0.997100               333.540000                 0.556740
1.121700               334.130000                 0.592450
1.246300               334.830000                 0.621670
1.371000               335.300000                 0.634650
1.495600               336.000000                 0.650880
1.620200               336.580000                 0.684970
1.744900               337.280000                 0.707690
1.869500               337.750000                 0.736910
1.994100               338.570000                 0.783980
2.118800               339.040000                 0.798590
2.243400               339.620000                 0.822940
2.368000               340.560000                 0.806700
2.492700               340.910000                 0.813200
2.617300               341.610000                 0.809950
2.741900               342.310000                 0.803460
2.866600               342.780000                 0.796970
2.991200               343.830000                 0.790470
3.115800               344.180000                 0.793720
3.240500               345.000000                 0.800210
3.365100               345.700000                 0.795340
3.489700               346.290000                 0.803460
3.614400               346.870000                 0.816440
3.739000               347.460000                 0.831050
3.863600               347.930000                 0.826180
3.988200               348.750000                 0.865140
4.112900               349.330000                 0.951160
4.237500               349.910000                 0.943050
4.362100               350.500000                 0.891110
4.486800               351.200000                 0.936560
4.611400               351.790000                 0.967400
4.736000               352.370000                 0.920320
4.860700               353.070000                 0.917080
4.985300               353.660000                 0.939800
5.109900               354.240000                 0.925190
5.234600               354.830000                 0.928440
5.359200               355.410000                 0.894350
5.483800               356.110000                 0.845660
5.608500               356.700000                 0.844040
5.733100               357.280000                 0.829430
5.857700               357.870000                 0.816440
5.982400               358.570000                 0.801840
6.107000               359.150000                 0.796970
6.231600               359.740000                 0.790470
6.356300               360.440000                 0.798590
6.480900               361.020000                 0.811570
6.605500               361.610000                 0.834300
6.730200               362.310000                 0.857020
6.854800               363.010000                 0.874880
6.979400               363.600000                 0.886240
7.104100               364.060000                 0.936560
7.228700               364.880000                 0.977140
7.353300               365.590000                 0.952790
7.478000               366.170000                 0.944670
7.602600               366.640000                 0.861890
7.727200               367.340000                 0.824560
7.851900               367.810000                 0.837540
7.976500               368.630000                 0.840790
8.101100               369.090000                 0.845660
8.225800               369.680000                 0.884620
8.350400               370.500000                 0.908960
8.475000               370.960000                 0.894350
8.599700               371.900000                 0.886240
8.724300               372.490000                 0.908960
8.848900               373.070000                 0.933310
8.973600               373.770000                 0.887860
9.098200               374.360000                 0.853780
9.222800               375.060000                 0.858650
9.347500               375.640000                 0.848910
9.472100               376.110000                 0.814820
9.596700               376.810000                 0.787230
9.721400               377.510000                 0.783980
9.846000               377.980000                 0.772620
9.970600               378.680000                 0.759630
10.095300               379.270000                 0.749890
10.219900               379.970000                 0.756390
10.344500               380.560000                 0.766130
10.469200               381.140000                 0.782360
10.593800               381.730000                 0.821310
10.718400               382.430000                 0.844040
10.843100               383.010000                 0.827810
10.967700               383.600000                 0.848910
11.092300               384.180000                 0.908960
11.217000               384.880000                 0.923570
11.341600               385.470000                 0.865140
11.466200               386.050000                 0.860270
11.590800               386.640000                 0.908960
11.715500               387.340000                 0.889490
11.840100               387.920000                 0.826180
11.964700               388.510000                 0.873250
12.089400               389.090000                 1.001500
12.214000               389.790000                 1.064800
12.338600               390.380000                 1.084300
12.463300               390.960000                 0.993370
12.587900               391.550000                 0.891110
12.712500               392.250000                 0.868380
12.837200               393.070000                 0.842410
12.961800               393.540000                 0.818070
13.086400               394.000000                 0.811570
13.211100               394.590000                 0.796970
13.335700               395.410000                 0.808330
13.460300               395.880000                 0.824560
13.585000               396.460000                 0.800210
13.709600               397.280000                 0.839170
13.834200               397.750000                 0.921950
13.958900               398.330000                 0.907340
14.083500               399.270000                 0.861890
14.208100               399.970000                 0.835920
14.332800               400.670000                 0.840790
14.457400               401.250000                 0.806700
14.582000               401.960000                 0.811570
14.706700               402.540000                 0.780730
14.831300               403.010000                 0.748270
14.955900               403.590000                 0.727170
15.080600               404.300000                 0.725550
15.205200               404.880000                 0.733660
15.329800               405.580000                 0.821310
15.454500               406.050000                 0.926820
15.579100               406.630000                 0.871630
15.703700               407.340000                 0.809950
15.828400               408.040000                 0.779110
15.953000               408.620000                 0.771000
16.077600               409.210000                 0.824560
16.202300               409.790000                 0.796970
16.326900               410.500000                 0.764500
16.451500               411.080000                 0.738530
16.576200               411.660000                 0.720680
16.700800               412.370000                 0.717430
16.825400               412.950000                 0.693080
16.950100               413.540000                 0.691460
17.074700               414.120000                 0.732040
17.199300               414.820000                 0.793720
17.324000               415.410000                 0.754760
17.448600               415.990000                 0.706070
17.573200               416.580000                 0.668740
17.697900               417.160000                 0.659000
