

Цикл № 1
Шаг  № 1
Точек  642
Линейная потенцио. развертка , ЭДС 331,55мВ, Скорость развертки 5,0001 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.124600               329.800000                 -0.256460
0.249300               329.210000                 -0.456100
0.373900               328.630000                 -0.538890
0.498500               328.050000                 -0.592450
0.623200               327.340000                 -0.650880
0.747800               326.760000                 -0.694710
0.872400               326.170000                 -0.746650
0.997100               325.590000                 -0.795340
1.121700               324.890000                 -0.840790
1.246300               324.300000                 -0.882990
1.371000               323.720000                 -0.931690
1.495600               323.020000                 -0.998240
1.620200               322.430000                 -1.046900
1.744900               321.850000                 -1.081000
1.869500               321.260000                 -1.128100
1.994100               320.680000                 -1.165400
2.118800               319.980000                 -1.207600
2.243400               319.390000                 -1.225500
2.368000               318.810000                 -1.259600
2.492700               318.220000                 -1.314800
2.617300               317.640000                 -1.384500
2.741900               317.050000                 -1.441400
2.866600               316.470000                 -1.462500
2.991200               315.760000                 -1.504700
3.115800               315.180000                 -1.621500
3.240500               314.600000                 -1.681600
3.365100               314.010000                 -1.712400
3.489700               313.430000                 -1.741600
3.614400               312.720000                 -1.761100
3.739000               312.140000                 -1.779000
3.863600               311.560000                 -1.813100
3.988200               310.850000                 -1.847100
4.112900               310.270000                 -1.873100
4.237500               309.680000                 -1.908800
4.362100               309.100000                 -1.954300
4.486800               308.510000                 -1.999700
4.611400               307.810000                 -2.043500
4.736000               307.230000                 -2.095500
4.860700               306.640000                 -2.176600
4.985300               306.060000                 -2.265900
5.109900               305.470000                 -2.300000
5.234600               304.890000                 -2.340600
5.359200               304.190000                 -2.361700
5.483800               303.600000                 -2.389300
5.608500               303.020000                 -2.480200
5.733100               302.320000                 -2.561300
5.857700               301.730000                 -2.627900
5.982400               301.030000                 -2.756100
6.107000               300.330000                 -2.864900
6.231600               299.740000                 -2.895700
6.356300               299.270000                 -2.941100
6.480900               298.690000                 -2.988200
6.605500               297.990000                 -2.988200
6.730200               297.400000                 -2.991500
6.854800               296.820000                 -3.023900
6.979400               296.000000                 -3.075900
7.104100               295.420000                 -3.118100
7.228700               294.600000                 -3.145700
7.353300               294.130000                 -3.186200
7.478000               293.430000                 -3.236600
7.602600               292.960000                 -3.312900
7.727200               292.260000                 -3.389100
7.851900               291.560000                 -3.454100
7.976500               290.970000                 -3.481700
8.101100               290.500000                 -3.504400
8.225800               290.040000                 -3.561200
8.350400               289.220000                 -3.614700
8.475000               288.400000                 -3.650500
8.599700               287.930000                 -3.668300
8.724300               287.460000                 -3.726800
8.848900               286.530000                 -3.801400
8.973600               285.940000                 -3.906900
9.098200               285.360000                 -3.903700
9.222800               284.770000                 -3.941000
9.347500               284.070000                 -4.015700
9.472100               283.490000                 -4.069200
9.596700               282.900000                 -4.192600
9.721400               282.200000                 -4.398700
9.846000               281.620000                 -4.588600
9.970600               281.030000                 -4.760700
10.095300               280.450000                 -4.817500
10.219900               279.860000                 -4.880800
10.344500               279.160000                 -5.004200
10.469200               278.570000                 -5.015500
10.593800               277.990000                 -4.994400
10.718400               277.400000                 -4.965200
10.843100               276.820000                 -4.949000
10.967700               276.240000                 -4.986300
11.092300               275.530000                 -5.054500
11.217000               274.950000                 -5.195700
11.341600               274.370000                 -5.367800
11.466200               273.780000                 -5.460300
11.590800               273.080000                 -5.434300
11.715500               272.490000                 -5.388800
11.840100               271.910000                 -5.366100
11.964700               271.320000                 -5.406700
12.089400               270.740000                 -5.502500
12.214000               270.040000                 -5.642100
12.338600               269.450000                 -5.668000
12.463300               268.870000                 -5.573900
12.587900               268.280000                 -5.479800
12.712500               267.460000                 -5.455400
12.837200               267.000000                 -5.453800
12.961800               266.410000                 -5.474900
13.086400               265.590000                 -5.500800
13.211100               265.010000                 -5.547900
13.335700               264.310000                 -5.720000
13.460300               263.960000                 -5.932600
13.585000               263.250000                 -6.018600
13.709600               262.550000                 -5.948800
13.834200               261.730000                 -5.845000
13.958900               261.030000                 -5.809200
14.083500               260.560000                 -5.836800
14.208100               259.980000                 -5.911500
14.332800               259.390000                 -6.004000
14.457400               258.580000                 -6.081900
14.582000               257.990000                 -6.213400
14.706700               257.410000                 -6.294600
14.831300               256.700000                 -6.343300
14.955900               256.120000                 -6.432500
15.080600               255.540000                 -6.460100
15.205200               254.950000                 -6.450400
15.329800               254.250000                 -6.422800
15.454500               253.660000                 -6.396800
15.579100               253.080000                 -6.361100
15.703700               252.610000                 -6.317300
15.828400               251.910000                 -6.273500
15.953000               251.210000                 -6.237800
16.077600               250.620000                 -6.187400
16.202300               250.040000                 -6.122500
16.326900               249.450000                 -6.080300
16.451500               248.870000                 -6.083600
16.576200               248.170000                 -6.117600
16.700800               247.580000                 -6.098200
16.825400               247.000000                 -6.052700
16.950100               246.410000                 -6.229600
17.074700               245.710000                 -6.554300
17.199300               245.130000                 -6.715000
17.324000               244.540000                 -6.812400
17.448600               243.840000                 -6.852900
17.573200               243.260000                 -6.841600
17.697900               242.670000                 -6.822100
17.822500               242.090000                 -6.888600
17.947100               241.500000                 -6.986000
18.071800               240.800000                 -6.958400
18.196400               240.330000                 -6.939000
18.321000               239.630000                 -7.005500
18.445700               239.050000                 -7.080200
18.570300               238.460000                 -7.054200
18.694900               237.880000                 -7.038000
18.819500               237.180000                 -7.102900
18.944200               236.590000                 -7.197000
19.068800               236.000000                 -7.188900
19.193400               235.420000                 -7.028200
19.318100               234.720000                 -6.854500
19.442700               234.130000                 -6.713300
19.567300               233.550000                 -6.628900
19.692000               232.960000                 -6.593200
19.816600               232.260000                 -6.622400
19.941200               231.790000                 -6.703600
20.065900               231.090000                 -6.755500
20.190500               230.510000                 -6.801000
20.315100               229.920000                 -6.810700
20.439800               229.220000                 -6.851300
20.564400               228.400000                 -6.914600
20.689000               227.940000                 -6.956800
20.813700               227.350000                 -6.913000
20.938300               226.410000                 -6.809100
21.062900               225.830000                 -6.706900
21.187600               225.480000                 -6.601300
