

Цикл № 1
Шаг  № 1
Точек  640
Линейная потенцио. развертка , ЭДС 296,47мВ, Скорость развертки 5,0001 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.124600               294.710000                 -0.115240
0.249300               295.770000                 0.099010
0.373900               296.580000                 0.206140
0.498500               297.050000                 0.285670
0.623200               297.750000                 0.340860
0.747800               298.340000                 0.379820
0.872400               298.920000                 0.423640
0.997100               299.630000                 0.452860
1.121700               300.210000                 0.486940
1.246300               300.800000                 0.503180
1.371000               301.380000                 0.543750
1.495600               301.960000                 0.555120
1.620200               302.670000                 0.585960
1.744900               303.250000                 0.592450
1.869500               303.840000                 0.621670
1.994100               304.540000                 0.631400
2.118800               305.120000                 0.650880
2.243400               305.710000                 0.662240
2.368000               306.290000                 0.681720
2.492700               306.990000                 0.697950
2.617300               307.580000                 0.706070
2.741900               308.160000                 0.715810
2.866600               308.750000                 0.728790
2.991200               309.450000                 0.735290
3.115800               310.030000                 0.749890
3.240500               310.620000                 0.751520
3.365100               311.200000                 0.767750
3.489700               311.910000                 0.771000
3.614400               312.490000                 0.779110
3.739000               313.070000                 0.769370
3.863600               313.660000                 0.761260
3.988200               314.360000                 0.761260
4.112900               315.060000                 0.766130
4.237500               315.650000                 0.761260
4.362100               316.350000                 0.764500
4.486800               316.940000                 0.759630
4.611400               317.640000                 0.771000
4.736000               318.220000                 0.772620
4.860700               318.810000                 0.796970
4.985300               319.510000                 0.826180
5.109900               319.860000                 0.855400
5.234600               320.440000                 0.863510
5.359200               321.030000                 0.892730
5.483800               321.610000                 0.926820
5.608500               322.310000                 0.912210
5.733100               323.130000                 0.876500
5.857700               323.600000                 0.853780
5.982400               324.190000                 0.832670
6.107000               325.000000                 0.819690
6.231600               325.590000                 0.808330
6.356300               326.290000                 0.800210
6.480900               326.990000                 0.814820
6.605500               327.690000                 0.866760
6.730200               328.280000                 0.915460
6.854800               328.750000                 0.928440
6.979400               329.100000                 0.918700
7.104100               329.680000                 0.899220
7.228700               330.380000                 0.870010
7.353300               331.080000                 0.850530
7.478000               331.550000                 0.852150
7.602600               332.370000                 0.863510
7.727200               333.070000                 0.876500
7.851900               333.660000                 0.891110
7.976500               334.360000                 0.894350
8.101100               334.940000                 0.886240
8.225800               335.650000                 0.882990
8.350400               336.230000                 0.861890
8.475000               336.930000                 0.847280
8.599700               337.520000                 0.832670
8.724300               338.100000                 0.809950
8.848900               338.690000                 0.793720
8.973600               339.270000                 0.792100
9.098200               339.970000                 0.787230
9.222800               340.560000                 0.782360
9.347500               341.140000                 0.774240
9.472100               341.850000                 0.782360
9.596700               342.430000                 0.769370
9.721400               343.010000                 0.748270
9.846000               343.600000                 0.735290
9.970600               344.300000                 0.730420
10.095300               344.890000                 0.709320
10.219900               345.470000                 0.699580
10.344500               346.060000                 0.684970
10.469200               346.760000                 0.693080
10.593800               347.340000                 0.707690
10.718400               347.930000                 0.725550
10.843100               348.510000                 0.730420
10.967700               349.210000                 0.738530
11.092300               349.800000                 0.736910
11.217000               350.620000                 0.735290
11.341600               350.970000                 0.722300
11.466200               351.790000                 0.712560
11.590800               352.600000                 0.709320
11.715500               353.190000                 0.712560
11.840100               353.770000                 0.710940
11.964700               354.480000                 0.714190
12.089400               355.180000                 0.712560
12.214000               355.760000                 0.709320
12.338600               356.350000                 0.694710
12.463300               356.930000                 0.686590
12.587900               357.630000                 0.675230
12.712500               358.220000                 0.676850
12.837200               358.800000                 0.671980
12.961800               359.500000                 0.678480
13.086400               360.090000                 0.676850
13.211100               360.670000                 0.675230
13.335700               361.260000                 0.671980
13.460300               361.960000                 0.684970
13.585000               362.550000                 0.701200
13.709600               363.130000                 0.710940
13.834200               363.830000                 0.701200
13.958900               364.420000                 0.691460
14.083500               365.240000                 0.683350
14.208100               365.820000                 0.675230
14.332800               366.170000                 0.667110
14.457400               366.870000                 0.668740
14.582000               367.460000                 0.663870
14.706700               368.040000                 0.659000
14.831300               368.630000                 0.665490
14.955900               369.330000                 0.665490
15.080600               369.910000                 0.670360
15.205200               370.500000                 0.665490
15.329800               371.200000                 0.652510
15.454500               371.900000                 0.655750
15.579100               372.600000                 0.667110
15.703700               373.190000                 0.660620
15.828400               373.770000                 0.654130
15.953000               374.590000                 0.646010
16.077600               375.060000                 0.646010
16.202300               375.640000                 0.639520
16.326900               376.350000                 0.637900
16.451500               377.160000                 0.628160
16.576200               377.630000                 0.623290
16.700800               378.330000                 0.620040
16.825400               379.040000                 0.615170
16.950100               379.620000                 0.611930
17.074700               380.200000                 0.616800
17.199300               380.790000                 0.613550
17.324000               381.490000                 0.605430
17.448600               382.080000                 0.602190
17.573200               382.660000                 0.620040
17.697900               383.250000                 0.637900
17.822500               383.950000                 0.650880
17.947100               384.530000                 0.667110
18.071800               385.120000                 0.670360
18.196400               385.700000                 0.667110
18.321000               386.400000                 0.652510
18.445700               386.990000                 0.644390
18.570300               387.570000                 0.642770
18.694900               388.160000                 0.652510
18.819500               388.740000                 0.655750
18.944200               389.440000                 0.654130
19.068800               390.030000                 0.652510
19.193400               390.610000                 0.631400
19.318100               391.310000                 0.621670
19.442700               391.900000                 0.618420
19.567300               392.480000                 0.621670
19.692000               393.070000                 0.618420
19.816600               393.650000                 0.613550
19.941200               394.360000                 0.602190
20.065900               394.940000                 0.597320
20.190500               395.520000                 0.585960
20.315100               396.110000                 0.582710
20.439800               396.810000                 0.574590
20.564400               397.400000                 0.571350
20.689000               397.980000                 0.574590
20.813700               398.570000                 0.607060
20.938300               399.270000                 0.660620
21.062900               399.850000                 0.704450
21.187600               400.550000                 0.732040
21.312200               401.140000                 0.751520
21.436800               401.610000                 0.759630
21.561500               402.430000                 0.754760
21.686100               403.130000                 0.735290
21.810700               403.480000                 0.720680
21.935400               404.300000                 0.709320
22.060000               405.000000                 0.704450
22.184600               405.580000                 0.704450
22.309300               406.050000                 0.691460
22.433900               406.750000                 0.701200
22.558500               407.450000                 0.704450
22.683200               408.160000                 0.699580
22.807800               408.740000                 0.696330
22.932400               409.440000                 0.683350
23.057100               410.140000                 0.680100
23.181700               410.730000                 0.693080
23.306300               411.310000                 0.701200
23.431000               412.010000                 0.694710
23.555600               412.600000                 0.671980
23.680200               413.180000                 0.644390
23.804900               413.770000                 0.618420
23.929500               414.350000                 0.597320
24.054100               415.060000                 0.584330
24.178800               415.640000                 0.579460
24.303400               416.230000                 0.568100
24.428000               416.810000                 0.563230
24.552700               417.510000                 0.556740
24.677300               418.100000                 0.564860
24.801900               418.800000                 0.558360
24.926600               419.380000                 0.556740
25.051200               419.970000                 0.568100
25.175800               420.550000                 0.584330
25.300500               421.140000                 0.603810
25.425100               421.840000                 0.610300
25.549700               422.420000                 0.621670
25.674400               423.010000                 0.602190
25.799000               423.590000                 0.595700
25.923600               424.180000                 0.634650
26.048300               424.880000                 0.688210
26.172900               425.460000                 0.738530
26.297500               426.170000                 0.783980
26.422100               426.870000                 0.801840
26.546800               427.570000                 0.782360
26.671400               428.270000                 0.771000
26.796000               428.970000                 0.769370
26.920700               429.670000                 0.779110
27.045300               430.260000                 0.774240
27.169900               430.840000                 0.749890
27.294600               431.550000                 0.725550
27.419200               432.130000                 0.701200
27.543800               432.710000                 0.673610
27.668500               433.300000                 0.659000
27.793100               433.880000                 0.647640
27.917700               434.590000                 0.634650
28.042400               435.170000                 0.615170
28.167000               435.760000                 0.610300
28.291600               436.340000                 0.607060
28.416300               437.040000                 0.605430
28.540900               437.630000                 0.603810
28.665500               438.210000                 0.608680
28.790200               438.910000                 0.603810
28.914800               439.500000                 0.597320
29.039400               440.080000                 0.585960
29.164100               440.670000                 0.571350
29.288700               441.250000                 0.558360
29.413300               441.950000                 0.550250
29.538000               442.540000                 0.542130
29.662600               443.120000                 0.532390
29.787200               443.710000                 0.530770
29.911900               444.290000                 0.561610
30.036500               445.000000                 0.615170
30.161100               445.580000                 0.681720
30.285800               446.280000                 0.730420
30.410400               446.870000                 0.771000
30.535000               447.450000                 0.761260
30.659700               448.040000                 0.751520
30.784300               448.620000                 0.725550
30.908900               449.320000                 0.709320
31.033600               449.910000                 0.691460
31.158200               450.490000                 0.684970
31.282800               451.080000                 0.676850
31.407500               451.780000                 0.684970
31.532100               452.360000                 0.693080
31.656700               453.060000                 0.688210
31.781400               453.650000                 0.681720
31.906000               454.350000                 0.681720
32.030600               454.820000                 0.667110
32.155300               455.870000                 0.659000
32.279900               456.340000                 0.639520
32.404500               457.160000                 0.636270
32.529200               457.740000                 0.654130
32.653800               458.330000                 0.676850
32.778400               458.910000                 0.694710
32.903100               459.380000                 0.743400
33.027700               460.200000                 0.783980
33.152300               460.670000                 0.837540
33.277000               461.490000                 0.858650
33.401600               461.840000                 0.850530
33.526200               462.650000                 0.826180
33.650900               463.240000                 0.792100
33.775500               463.820000                 0.769370
33.900100               464.520000                 0.749890
34.024700               465.110000                 0.735290
34.149400               465.690000                 0.732040
34.274000               466.280000                 0.722300
34.398600               466.980000                 0.701200
34.523300               467.570000                 0.683350
34.647900               468.150000                 0.671980
34.772500               468.740000                 0.657370
34.897200               469.320000                 0.655750
35.021800               470.020000                 0.659000
35.146400               470.610000                 0.659000
35.271100               471.190000                 0.650880
35.395700               471.780000                 0.644390
35.520300               472.480000                 0.636270
35.645000               473.060000                 0.626540
35.769600               473.650000                 0.608680
35.894200               474.230000                 0.603810
36.018900               474.930000                 0.598940
36.143500               475.520000                 0.597320
36.268100               476.100000                 0.597320
36.392800               476.810000                 0.577840
36.517400               477.390000                 0.550250
36.642000               477.980000                 0.534020
36.766700               478.560000                 0.524280
36.891300               479.140000                 0.516160
37.015900               479.850000                 0.521030
37.140600               480.430000                 0.517780
37.265200               481.010000                 0.524280
37.389800               481.600000                 0.522650
37.514500               482.300000                 0.529150
37.639100               482.890000                 0.530770
37.763700               483.470000                 0.540510
37.888400               484.290000                 0.537260
38.013000               484.990000                 0.537260
38.137600               485.340000                 0.529150
38.262300               486.280000                 0.532390
38.386900               486.750000                 0.537260
38.511500               487.560000                 0.543750
38.636200               488.270000                 0.558360
38.760800               488.500000                 0.566480
38.885400               489.550000                 0.584330
39.010100               490.020000                 0.585960
39.134700               490.610000                 0.581090
39.259300               491.310000                 0.574590
39.384000               491.890000                 0.569720
39.508600               492.480000                 0.564860
39.633200               493.180000                 0.566480
39.757900               493.760000                 0.561610
39.882500               494.460000                 0.566480
40.007100               495.050000                 0.564860
40.131800               495.630000                 0.568100
40.256400               496.220000                 0.566480
40.381000               496.920000                 0.574590
40.505700               497.500000                 0.584330
40.630300               498.090000                 0.585960
40.754900               498.680000                 0.571350
40.879600               499.260000                 0.559990
41.004200               499.960000                 0.548620
41.128800               500.550000                 0.538890
41.253400               501.130000                 0.525900
41.378100               501.720000                 0.527520
41.502700               502.420000                 0.534020
41.627300               503.000000                 0.535640
41.752000               503.590000                 0.535640
41.876600               504.290000                 0.538890
42.001200               504.870000                 0.535640
42.125900               505.460000                 0.529150
42.250500               506.040000                 0.521030
42.375100               506.860000                 0.519410
42.499800               507.330000                 0.521030
42.624400               507.910000                 0.516160
42.749000               508.730000                 0.509670
42.873700               509.430000                 0.511290
42.998300               509.790000                 0.511290
43.122900               510.720000                 0.509670
43.247600               511.190000                 0.512910
43.372200               511.890000                 0.525900
43.496800               512.360000                 0.561610
43.621500               513.290000                 0.634650
43.746100               513.880000                 0.710940
43.870700               514.460000                 0.706070
43.995400               515.160000                 0.680100
44.120000               515.630000                 0.662240
44.244600               516.330000                 0.652510
44.369300               517.040000                 0.636270
44.493900               517.620000                 0.624910
44.618500               518.210000                 0.620040
44.743200               518.790000                 0.613550
44.867800               519.380000                 0.608680
44.992400               520.080000                 0.600560
45.117100               520.660000                 0.594070
45.241700               521.250000                 0.587580
45.366300               521.830000                 0.587580
45.491000               522.530000                 0.592450
45.615600               523.120000                 0.607060
45.740200               523.700000                 0.621670
45.864900               524.290000                 0.631400
45.989500               524.990000                 0.637900
46.114100               525.570000                 0.646010
46.238800               526.160000                 0.642770
46.363400               526.740000                 0.637900
46.488000               527.440000                 0.631400
46.612700               528.030000                 0.626540
46.737300               528.610000                 0.624910
46.861900               529.320000                 0.618420
46.986600               529.900000                 0.629780
47.111200               530.490000                 0.644390
47.235800               531.070000                 0.667110
47.360500               531.890000                 0.686590
47.485100               532.470000                 0.704450
47.609700               533.060000                 0.704450
47.734400               533.640000                 0.722300
47.859000               534.350000                 0.766130
47.983600               534.930000                 0.824560
48.108300               535.400000                 0.857020
48.232900               535.980000                 0.863510
48.357500               536.570000                 0.852150
48.482200               537.380000                 0.865140
48.606800               537.970000                 0.946300
48.731400               538.670000                 1.022600
48.856000               539.260000                 1.003100
48.980700               539.960000                 0.960900
49.105300               540.660000                 0.899220
49.229900               541.360000                 0.858650
49.354600               541.600000                 0.835920
49.479200               542.410000                 0.816440
49.603800               543.230000                 0.803460
49.728500               543.580000                 0.827810
49.853100               544.400000                 0.881370
49.977700               544.870000                 0.936560
50.102400               545.570000                 0.962530
50.227000               546.160000                 0.952790
50.351600               546.740000                 0.913830
50.476300               547.560000                 0.861890
50.600900               548.140000                 0.809950
50.725500               548.730000                 0.772620
50.850200               549.310000                 0.741780
50.974800               549.900000                 0.712560
51.099400               550.600000                 0.689840
51.224100               551.180000                 0.667110
51.348700               551.770000                 0.642770
51.473300               552.360000                 0.631400
51.598000               553.060000                 0.618420
51.722600               553.640000                 0.621670
51.847200               554.230000                 0.605430
51.971900               554.810000                 0.605430
52.096500               555.390000                 0.600560
52.221100               556.100000                 0.600560
52.345800               556.680000                 0.598940
52.470400               557.380000                 0.590830
52.595000               557.970000                 0.584330
52.719700               558.550000                 0.582710
52.844300               559.140000                 0.584330
52.968900               559.720000                 0.579460
53.093600               560.420000                 0.577840
53.218200               561.010000                 0.576220
53.342800               561.590000                 0.574590
53.467500               562.180000                 0.572970
53.592100               562.880000                 0.579460
53.716700               563.580000                 0.590830
53.841400               564.050000                 0.610300
53.966000               564.630000                 0.616800
54.090600               565.220000                 0.610300
54.215300               566.150000                 0.598940
54.339900               566.970000                 0.594070
54.464500               567.440000                 0.587580
54.589200               568.140000                 0.592450
54.713800               568.850000                 0.597320
54.838400               569.310000                 0.600560
54.963100               570.010000                 0.603810
55.087700               570.600000                 0.611930
55.212300               571.300000                 0.603810
55.337000               571.880000                 0.598940
55.461600               572.470000                 0.598940
55.586200               572.940000                 0.585960
55.710900               573.760000                 0.569720
55.835500               574.340000                 0.561610
55.960100               574.930000                 0.555120
56.084800               575.630000                 0.545380
56.209400               576.210000                 0.540510
56.334000               576.800000                 0.537260
56.458600               577.380000                 0.551870
56.583300               578.080000                 0.574590
56.707900               578.670000                 0.595700
56.832500               579.250000                 0.611930
56.957200               579.840000                 0.633030
57.081800               580.770000                 0.634650
57.206400               581.360000                 0.631400
57.331100               582.290000                 0.637900
57.455700               582.640000                 0.652510
57.580300               583.350000                 0.660620
57.705000               584.050000                 0.663870
57.829600               584.750000                 0.646010
57.954200               585.340000                 0.634650
58.078900               586.040000                 0.626540
58.203500               586.620000                 0.620040
58.328100               587.210000                 0.626540
58.452800               587.790000                 0.667110
58.577400               588.380000                 0.748270
58.702000               589.080000                 0.814820
58.826700               589.660000                 0.814820
58.951300               590.250000                 0.779110
59.075900               590.830000                 0.756390
59.200600               591.530000                 0.725550
59.325200               592.240000                 0.706070
59.449800               592.700000                 0.696330
59.574500               593.290000                 0.671980
59.699100               594.110000                 0.646010
59.823700               594.690000                 0.621670
59.948400               595.160000                 0.607060
60.073000               596.210000                 0.594070
60.197600               596.680000                 0.584330
60.322300               597.380000                 0.582710
60.446900               597.970000                 0.577840
60.571500               598.550000                 0.577840
60.696200               599.370000                 0.558360
60.820800               599.950000                 0.555120
60.945400               600.650000                 0.556740
61.070100               601.240000                 0.545380
61.194700               601.830000                 0.542130
61.319300               602.410000                 0.538890
61.444000               602.990000                 0.534020
61.568600               603.700000                 0.532390
61.693200               604.280000                 0.527520
61.817900               604.870000                 0.527520
61.942500               605.570000                 0.530770
62.067100               606.150000                 0.527520
62.191800               606.740000                 0.521030
62.316400               607.320000                 0.519410
62.441000               607.910000                 0.517780
62.565700               608.610000                 0.517780
62.690300               609.190000                 0.516160
62.814900               609.780000                 0.509670
62.939600               610.360000                 0.506420
63.064200               611.060000                 0.508050
63.188800               611.650000                 0.503180
63.313500               612.230000                 0.512910
63.438100               613.050000                 0.532390
63.562700               613.520000                 0.556740
63.687400               614.110000                 0.577840
63.812000               614.690000                 0.592450
63.936600               615.620000                 0.608680
64.061200               615.980000                 0.649260
64.185900               616.560000                 0.706070
64.310500               617.260000                 0.758010
64.435100               617.960000                 0.790470
64.559800               618.430000                 0.785600
64.684400               619.020000                 0.772620
64.809000               619.600000                 0.753140
64.933700               620.300000                 0.748270
65.058300               620.890000                 0.754760
65.182900               621.470000                 0.769370
65.307600               622.290000                 0.777490
65.432200               622.760000                 0.764500
65.556800               623.580000                 0.738530
65.681500               624.280000                 0.714190
65.806100               624.860000                 0.689840
65.930700               625.680000                 0.678480
66.055400               626.270000                 0.657370
66.180000               626.740000                 0.660620
66.304600               627.440000                 0.684970
66.429300               628.020000                 0.740160
66.553900               628.490000                 0.824560
66.678500               629.070000                 0.939800
66.803200               629.660000                 1.042100
66.927800               630.130000                 1.085900
67.052400               630.590000                 1.006400
67.177100               631.530000                 0.928440
67.301700               632.120000                 0.878120
67.426300               632.930000                 0.847280
67.551000               633.400000                 0.809950
67.675600               634.220000                 0.782360
67.800200               634.690000                 0.753140
67.924900               635.270000                 0.733660
68.049500               635.860000                 0.723920
68.174100               636.680000                 0.712560
68.298800               637.260000                 0.706070
68.423400               637.850000                 0.701200
68.548000               638.430000                 0.712560
68.672700               639.130000                 0.709320
68.797300               639.720000                 0.684970
68.921900               640.420000                 0.689840
69.046600               641.000000                 0.678480
69.171200               641.590000                 0.671980
69.295800               642.170000                 0.665490
69.420500               642.870000                 0.673610
69.545100               643.460000                 0.667110
69.669700               644.040000                 0.671980
69.794400               644.630000                 0.691460
69.919000               645.210000                 0.720680
70.043600               645.910000                 0.732040
70.168300               646.500000                 0.736910
70.292900               647.080000                 0.725550
70.417500               647.790000                 0.715810
70.542200               648.250000                 0.699580
70.666800               649.070000                 0.683350
70.791400               649.540000                 0.673610
70.916100               650.120000                 0.657370
71.040700               650.710000                 0.649260
71.165300               651.410000                 0.646010
71.289900               652.000000                 0.642770
71.414600               652.700000                 0.662240
71.539200               653.280000                 0.659000
71.663800               653.980000                 0.649260
71.788500               654.450000                 0.647640
71.913100               655.270000                 0.652510
72.037700               655.970000                 0.671980
72.162400               656.560000                 0.696330
72.287000               657.020000                 0.714190
72.411600               657.960000                 0.722300
72.536300               658.660000                 0.710940
72.660900               659.130000                 0.701200
72.785500               659.720000                 0.694710
72.910200               660.420000                 0.691460
73.034800               661.120000                 0.707690
73.159400               661.700000                 0.735290
73.284100               662.290000                 0.808330
73.408700               662.990000                 0.884620
73.533300               663.570000                 0.925190
73.658000               664.160000                 0.938180
73.782600               664.740000                 0.907340
73.907200               665.450000                 0.868380
74.031900               666.030000                 0.840790
74.156500               666.620000                 0.821310
74.281100               667.200000                 0.798590
74.405800               667.900000                 0.798590
74.530400               668.490000                 0.793720
74.655000               669.070000                 0.795340
74.779700               669.660000                 0.813200
74.904300               670.360000                 0.813200
75.028900               670.940000                 0.809950
75.153600               671.530000                 0.801840
75.278200               672.110000                 0.801840
75.402800               672.810000                 0.806700
75.527500               673.400000                 0.808330
75.652100               673.980000                 0.811570
75.776700               674.570000                 0.805080
75.901400               675.270000                 0.785600
76.026000               675.850000                 0.764500
76.150600               676.440000                 0.738530
76.275300               677.260000                 0.727170
76.399900               677.960000                 0.725550
76.524500               678.430000                 0.741780
76.649200               679.250000                 0.774240
76.773800               679.950000                 0.785600
76.898400               680.530000                 0.767750
77.023100               681.230000                 0.738530
77.147700               681.820000                 0.725550
77.272300               682.520000                 0.707690
77.397000               683.110000                 0.696330
77.521600               683.690000                 0.696330
77.646200               684.270000                 0.710940
77.770900               684.980000                 0.767750
77.895500               685.560000                 0.793720
78.020100               686.150000                 0.761260
78.144800               686.730000                 0.754760
78.269400               687.320000                 0.761260
78.394000               688.020000                 0.754760
78.518700               688.600000                 0.741780
78.643300               689.190000                 0.719050
78.767900               689.770000                 0.701200
78.892500               690.470000                 0.688210
79.017200               691.060000                 0.683350
79.141800               691.640000                 0.676850
79.266400               692.230000                 0.667110
79.391100               692.930000                 0.668740
79.515700               693.400000                 0.668740
79.640300               694.100000                 0.693080
79.765000               694.680000                 0.720680
