

Цикл № 1
Шаг  № 1
Точек  643
Линейная потенцио. развертка , ЭДС 283,02мВ, Скорость развертки 5,0001 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.124600               281.850000                 -0.374950
0.249300               281.150000                 -0.527520
0.373900               280.560000                 -0.561610
0.498500               279.980000                 -0.611930
0.623200               279.390000                 -0.650880
0.747800               278.810000                 -0.681720
0.872400               278.110000                 -0.710940
0.997100               277.520000                 -0.748270
1.121700               276.940000                 -0.785600
1.246300               276.350000                 -0.816440
1.371000               275.420000                 -0.870010
1.495600               274.950000                 -0.952790
1.620200               274.370000                 -0.991740
1.744900               273.780000                 -1.016100
1.869500               273.190000                 -1.045300
1.994100               272.380000                 -1.064800
2.118800               271.910000                 -1.084300
2.243400               271.440000                 -1.103700
2.368000               270.860000                 -1.136200
2.492700               270.150000                 -1.167000
2.617300               269.690000                 -1.180000
2.741900               268.870000                 -1.193000
2.866600               268.280000                 -1.219000
2.991200               267.700000                 -1.230400
3.115800               266.880000                 -1.251400
3.240500               266.060000                 -1.292000
3.365100               265.480000                 -1.301800
3.489700               264.890000                 -1.329400
3.614400               264.420000                 -1.395900
3.739000               263.610000                 -1.477100
3.863600               263.020000                 -1.571200
3.988200               262.440000                 -1.623200
4.112900               261.850000                 -1.644200
4.237500               261.150000                 -1.616700
4.362100               260.560000                 -1.600400
4.486800               259.980000                 -1.587400
4.611400               259.390000                 -1.606900
4.736000               258.690000                 -1.628000
4.860700               258.110000                 -1.662100
4.985300               257.520000                 -1.689700
5.109900               256.940000                 -1.736800
5.234600               256.350000                 -1.779000
5.359200               255.650000                 -1.817900
5.483800               255.070000                 -1.819600
5.608500               254.480000                 -1.830900
5.733100               253.900000                 -1.845500
5.857700               253.310000                 -1.876400
5.982400               252.610000                 -1.882800
6.107000               252.030000                 -1.881200
6.231600               251.440000                 -1.907200
6.356300               250.860000                 -1.936400
6.480900               250.160000                 -1.964000
6.605500               249.570000                 -1.988400
6.730200               248.990000                 -1.999700
6.854800               248.400000                 -2.027300
6.979400               247.700000                 -2.054900
7.104100               247.120000                 -2.093900
7.228700               246.530000                 -2.113300
7.353300               245.830000                 -2.129600
7.478000               245.360000                 -2.132800
7.602600               244.430000                 -2.196100
7.727200               244.070000                 -2.300000
7.851900               243.490000                 -2.402300
7.976500               242.910000                 -2.467200
8.101100               242.200000                 -2.460700
8.225800               241.620000                 -2.434700
8.350400               241.030000                 -2.413600
8.475000               240.330000                 -2.416900
8.599700               239.750000                 -2.436400
8.724300               238.930000                 -2.579200
8.848900               238.230000                 -2.783700
8.973600               237.880000                 -2.873000
9.098200               237.180000                 -2.860000
9.222800               236.710000                 -2.782100
9.347500               235.770000                 -2.697700
9.472100               235.420000                 -2.598700
9.596700               234.490000                 -2.501300
9.721400               234.020000                 -2.434700
9.846000               233.550000                 -2.374700
9.970600               233.200000                 -2.316200
10.095300               232.500000                 -2.267500
10.219900               231.680000                 -2.254600
10.344500               231.330000                 -2.248100
10.469200               230.160000                 -2.254600
10.593800               229.690000                 -2.275700
10.718400               229.100000                 -2.308100
10.843100               228.520000                 -2.322700
10.967700               227.700000                 -2.355200
11.092300               227.120000                 -2.386000
11.217000               226.530000                 -2.412000
11.341600               225.950000                 -2.381200
11.466200               225.360000                 -2.374700
11.590800               224.660000                 -2.436400
11.715500               224.080000                 -2.465600
11.840100               223.490000                 -2.545100
11.964700               222.910000                 -2.700900
12.089400               222.210000                 -2.895700
12.214000               221.740000                 -3.098600
