

Цикл № 1
Шаг  № 1
Точек  640
Линейная потенцио. развертка , Скорость развертки 5,0001 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.124600               -0.350850                 -16.394000
0.249300               0.233900                 -13.087000
0.373900               0.701700                 -11.098000
0.498500               1.286500                 -9.747000
0.623200               1.871200                 -8.805600
0.747800               3.040700                 -8.159600
0.872400               3.508500                 -7.680700
0.997100               4.093300                 -7.309000
1.121700               4.911900                 -7.005500
1.246300               5.496600                 -6.710100
1.371000               6.081400                 -6.372500
1.495600               6.549200                 -6.026700
1.620200               7.367800                 -5.705400
1.744900               7.952600                 -5.431000
1.869500               8.537300                 -5.182700
1.994100               9.122100                 -4.939200
2.118800               9.589900                 -4.716900
2.243400               10.292000                 -4.549700
2.368000               10.876000                 -4.507500
2.492700               11.578000                 -4.496100
2.617300               12.163000                 -4.405200
2.741900               12.748000                 -4.288400
2.866600               13.449000                 -4.181200
2.991200               14.034000                 -4.085500
3.115800               14.619000                 -4.027000
3.240500               14.385000                 -3.980000
3.365100               15.204000                 -3.936100
3.489700               15.671000                 -3.876100
3.614400               16.490000                 -3.798200
3.739000               16.958000                 -3.702400
3.863600               17.659000                 -3.611500
3.988200               18.361000                 -3.525500
4.112900               18.946000                 -3.445900
4.237500               19.531000                 -3.377800
4.362100               20.115000                 -3.308000
4.486800               20.817000                 -3.247900
4.611400               21.402000                 -3.212200
4.736000               21.987000                 -3.197600
4.860700               22.571000                 -3.181400
4.985300               23.156000                 -3.144000
5.109900               23.741000                 -3.097000
5.234600               24.443000                 -3.054800
5.359200               25.027000                 -3.002800
5.483800               25.612000                 -2.936300
5.608500               26.314000                 -2.868100
5.733100               26.898000                 -2.812900
5.857700               27.483000                 -2.765800
5.982400               28.068000                 -2.743100
6.107000               28.770000                 -2.735000
6.231600               29.354000                 -2.778800
6.356300               29.939000                 -2.834000
6.480900               30.524000                 -2.853500
6.605500               31.226000                 -2.837300
6.730200               31.810000                 -2.788600
6.854800               32.395000                 -2.733400
6.979400               32.980000                 -2.666800
7.104100               33.565000                 -2.600300
7.228700               34.266000                 -2.562900
7.353300               34.851000                 -2.537000
7.478000               35.436000                 -2.512600
7.602600               36.021000                 -2.480200
7.727200               36.605000                 -2.470400
7.851900               37.307000                 -2.485000
7.976500               37.892000                 -2.507800
8.101100               38.477000                 -2.506100
8.225800               39.061000                 -2.496400
8.350400               39.763000                 -2.488300
8.475000               40.465000                 -2.480200
8.599700               41.166000                 -2.447700
8.724300               41.985000                 -2.410400
8.848900               42.453000                 -2.381200
8.973600               43.038000                 -2.356800
9.098200               43.856000                 -2.342200
9.222800               44.558000                 -2.351900
9.347500               45.143000                 -2.373000
9.472100               45.727000                 -2.377900
9.596700               46.312000                 -2.386000
9.721400               46.897000                 -2.431500
9.846000               47.599000                 -2.489900
9.970600               48.183000                 -2.527200
10.095300               48.768000                 -2.525600
10.219900               49.353000                 -2.532100
10.344500               49.938000                 -2.603500
10.469200               50.522000                 -2.658700
10.593800               51.224000                 -2.673300
10.718400               51.809000                 -2.673300
10.843100               52.394000                 -2.658700
10.967700               53.095000                 -2.650600
11.092300               53.680000                 -2.639200
11.217000               54.265000                 -2.621400
11.341600               54.850000                 -2.608400
11.466200               55.434000                 -2.605200
11.590800               56.136000                 -2.613300
11.715500               56.721000                 -2.618100
11.840100               57.306000                 -2.614900
11.964700               58.007000                 -2.611700
12.089400               58.592000                 -2.588900
12.214000               59.177000                 -2.558100
12.338600               59.761000                 -2.522400
12.463300               60.346000                 -2.493200
12.587900               61.048000                 -2.483400
12.712500               61.633000                 -2.470400
12.837200               62.217000                 -2.439600
12.961800               63.036000                 -2.405500
13.086400               63.855000                 -2.360100
13.211100               64.556000                 -2.319500
13.335700               65.258000                 -2.303200
13.460300               65.843000                 -2.308100
13.585000               66.428000                 -2.327600
13.709600               66.895000                 -2.363300
13.834200               67.480000                 -2.405500
13.958900               68.065000                 -2.413600
14.083500               68.883000                 -2.392500
14.208100               69.351000                 -2.360100
14.332800               70.053000                 -2.326000
14.457400               70.638000                 -2.293500
14.582000               71.222000                 -2.246400
14.706700               71.924000                 -2.188000
14.831300               72.509000                 -2.145800
14.955900               73.094000                 -2.113300
15.080600               73.796000                 -2.095500
15.205200               74.380000                 -2.085700
15.329800               74.965000                 -2.079300
15.454500               75.550000                 -2.071100
15.579100               76.251000                 -2.061400
15.703700               76.836000                 -2.045200
15.828400               77.421000                 -2.028900
15.953000               78.006000                 -2.011100
16.077600               78.707000                 -1.981900
16.202300               79.292000                 -1.965600
16.326900               79.877000                 -1.964000
16.451500               80.462000                 -1.980200
16.576200               81.046000                 -1.981900
16.700800               81.748000                 -1.986700
16.825400               82.450000                 -2.028900
16.950100               82.918000                 -2.197700
17.074700               83.502000                 -2.444500
17.199300               84.204000                 -2.574300
17.324000               84.789000                 -2.673300
17.448600               85.490000                 -2.757700
17.573200               85.958000                 -2.795100
17.697900               86.660000                 -2.775600
17.822500               87.245000                 -2.689600
17.947100               87.829000                 -2.653800
18.071800               88.414000                 -2.684700
18.196400               88.999000                 -2.743100
18.321000               89.818000                 -2.803200
18.445700               90.402000                 -2.762600
18.570300               90.870000                 -2.658700
18.694900               91.455000                 -2.580800
18.819500               92.040000                 -2.535400
18.944200               92.741000                 -2.483400
19.068800               93.326000                 -2.410400
19.193400               93.911000                 -2.334100
19.318100               94.496000                 -2.251300
19.442700               95.080000                 -2.188000
19.567300               95.899000                 -2.162000
19.692000               96.484000                 -2.162000
19.816600               97.069000                 -2.197700
19.941200               97.770000                 -2.298400
20.065900               98.589000                 -2.407100
20.190500               99.174000                 -2.428200
20.315100               99.758000                 -2.402300
20.439800               100.460000                 -2.407100
20.564400               101.160000                 -2.410400
20.689000               101.750000                 -2.392500
20.813700               102.330000                 -2.376300
20.938300               103.030000                 -2.389300
21.062900               103.620000                 -2.434700
21.187600               104.200000                 -2.476900
21.312200               104.790000                 -2.507800
21.436800               105.370000                 -2.491500
21.561500               105.960000                 -2.425000
21.686100               106.660000                 -2.374700
21.810700               107.240000                 -2.351900
21.935400               107.830000                 -2.332500
22.060000               108.410000                 -2.308100
22.184600               109.000000                 -2.283800
22.309300               109.700000                 -2.256200
22.433900               110.280000                 -2.252900
22.558500               110.870000                 -2.249700
22.683200               111.450000                 -2.217200
22.807800               112.160000                 -2.163700
22.932400               112.860000                 -2.115000
23.057100               113.330000                 -2.092200
23.181700               113.910000                 -2.072800
23.306300               114.610000                 -2.050000
23.431000               115.310000                 -2.038700
23.555600               115.780000                 -2.043500
23.680200               116.600000                 -2.090600
