

Цикл № 1
Шаг  № 1
Точек  643
Линейная потенцио. развертка , Скорость развертки 5,0001 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.124600               -0.233900                 -16.339000
0.249300               -1.052600                 -13.419000
0.373900               -1.520400                 -11.633000
0.498500               -2.456000                 -10.442000
0.623200               -3.040700                 -9.596000
0.747800               -3.625400                 -8.946800
0.872400               -4.093300                 -8.443600
0.997100               -4.678000                 -8.128700
1.121700               -5.496600                 -7.919300
1.246300               -6.081400                 -7.680700
1.371000               -6.432200                 -7.468100
1.495600               -7.250900                 -7.338300
1.620200               -7.835700                 -7.218100
1.744900               -8.537300                 -7.156500
1.869500               -9.122100                 -7.036300
1.994100               -9.706800                 -6.830200
2.118800               -10.525000                 -6.630600
2.243400               -11.110000                 -6.443900
2.368000               -12.163000                 -6.283200
2.492700               -12.748000                 -6.169600
2.617300               -13.917000                 -6.067300
2.741900               -14.619000                 -5.914700
2.866600               -15.788000                 -5.776800
2.991200               -16.373000                 -5.650200
3.115800               -17.075000                 -5.512200
3.240500               -17.659000                 -5.340200
3.365100               -18.244000                 -5.177800
3.489700               -18.712000                 -5.035000
3.614400               -19.297000                 -4.919800
3.739000               -19.531000                 -4.955500
3.863600               -20.115000                 -5.276800
3.988200               -20.583000                 -5.879000
4.112900               -21.285000                 -6.390300
4.237500               -21.870000                 -6.523400
4.362100               -22.454000                 -6.314000
4.486800               -23.039000                 -5.952100
4.611400               -23.741000                 -5.664800
4.736000               -24.326000                 -5.494400
4.860700               -24.910000                 -5.439200
4.985300               -25.495000                 -5.434300
5.109900               -26.080000                 -5.388800
5.234600               -26.665000                 -5.281700
5.359200               -27.249000                 -5.137300
5.483800               -27.951000                 -4.934400
5.608500               -28.536000                 -4.715200
5.733100               -29.121000                 -4.518800
5.857700               -29.705000                 -4.376000
5.982400               -30.407000                 -4.328900
6.107000               -30.992000                 -4.440900
6.231600               -31.576000                 -4.775300
6.356300               -32.161000                 -5.129200
6.480900               -32.863000                 -5.345000
6.605500               -33.448000                 -5.359600
6.730200               -34.032000                 -5.192500
6.854800               -34.617000                 -5.096700
6.979400               -35.202000                 -5.052900
7.104100               -36.021000                 -4.997700
7.228700               -36.605000                 -4.882400
7.353300               -37.190000                 -4.710400
7.478000               -37.775000                 -4.535100
7.602600               -38.477000                 -4.402000
7.727200               -38.944000                 -4.312700
7.851900               -39.646000                 -4.225100
7.976500               -40.348000                 -4.116300
8.101100               -41.166000                 -3.989700
8.225800               -41.751000                 -3.874400
8.350400               -42.453000                 -3.773800
8.475000               -43.038000                 -3.710500
8.599700               -43.505000                 -3.689400
8.724300               -44.324000                 -3.681300
8.848900               -44.909000                 -3.592000
8.973600               -45.493000                 -3.481700
9.098200               -46.078000                 -3.465400
9.222800               -46.663000                 -3.458900
9.347500               -47.248000                 -3.463800
9.472100               -47.950000                 -3.540100
9.596700               -48.534000                 -3.557900
9.721400               -49.002000                 -3.543300
9.846000               -49.821000                 -3.520600
9.970600               -50.406000                 -3.473500
10.095300               -50.990000                 -3.407000
10.219900               -51.575000                 -3.334000
10.344500               -52.160000                 -3.280400
10.469200               -52.745000                 -3.247900
10.593800               -53.329000                 -3.222000
10.718400               -54.031000                 -3.187900
10.843100               -54.616000                 -3.135900
10.967700               -55.200000                 -3.108300
11.092300               -55.785000                 -3.111600
11.217000               -56.487000                 -3.124600
11.341600               -57.072000                 -3.137600
11.466200               -57.656000                 -3.145700
11.590800               -58.241000                 -3.145700
