

Цикл № 1
Шаг  № 1
Точек  640
Линейная потенцио. развертка , Скорость развертки 5,0001 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.124600               -0.584750                 -19.744000
0.249300               0.116950                 -15.824000
0.373900               0.701700                 -13.482000
0.498500               1.286500                 -11.945000
0.623200               1.871200                 -10.877000
0.747800               2.456000                 -10.067000
0.872400               3.157600                 -9.409400
0.997100               3.742400                 -8.899700
1.121700               4.795000                 -8.490700
1.246300               5.496600                 -8.083300
1.371000               5.964500                 -7.627200
1.495600               6.666200                 -7.213300
1.620200               7.250900                 -6.883800
1.744900               7.952600                 -6.588400
1.869500               8.537300                 -6.299400
1.994100               9.122100                 -6.077100
2.118800               9.589900                 -5.879000
2.243400               10.292000                 -5.666400
2.368000               10.993000                 -5.453800
2.492700               11.578000                 -5.278500
2.617300               12.163000                 -5.147000
2.741900               12.748000                 -5.028500
2.866600               13.449000                 -4.918100
2.991200               14.034000                 -4.824000
3.115800               14.619000                 -4.749300
3.240500               14.151000                 -4.682800
3.365100               14.736000                 -4.643800
3.489700               15.554000                 -4.658400
3.614400               16.373000                 -4.705500
3.739000               16.958000                 -4.778600
3.863600               17.659000                 -4.830500
3.988200               18.244000                 -4.825600
4.112900               18.712000                 -4.755800
4.237500               19.414000                 -4.679500
4.362100               19.998000                 -4.635700
4.486800               20.583000                 -4.572400
4.611400               21.402000                 -4.470200
4.736000               21.987000                 -4.384100
4.860700               22.571000                 -4.338700
4.985300               23.156000                 -4.285100
5.109900               23.741000                 -4.262400
5.234600               24.443000                 -4.238000
5.359200               25.027000                 -4.200700
5.483800               25.612000                 -4.129300
5.608500               26.314000                 -4.033500
5.733100               26.898000                 -3.939400
5.857700               27.483000                 -3.858200
5.982400               28.068000                 -3.814400
6.107000               28.770000                 -3.811200
6.231600               29.354000                 -3.814400
6.356300               29.939000                 -3.803000
6.480900               30.524000                 -3.751100
6.605500               31.226000                 -3.687800
6.730200               31.810000                 -3.619600
6.854800               32.395000                 -3.580700
6.979400               32.980000                 -3.559600
7.104100               33.565000                 -3.522200
7.228700               34.266000                 -3.457300
7.353300               34.851000                 -3.364800
7.478000               35.436000                 -3.277100
7.602600               36.021000                 -3.222000
7.727200               36.722000                 -3.166800
7.851900               37.307000                 -3.114800
7.976500               37.892000                 -3.254400
8.101100               38.477000                 -3.721900
8.225800               39.295000                 -4.066000
8.350400               39.997000                 -4.199100
8.475000               40.699000                 -4.285100
8.599700               41.400000                 -4.387400
8.724300               41.985000                 -4.384100
8.848900               42.687000                 -4.332200
8.973600               43.272000                 -4.299700
9.098200               43.973000                 -4.301300
9.222800               44.558000                 -4.236400
9.347500               45.143000                 -4.082200
9.472100               45.727000                 -3.997800
9.596700               46.312000                 -4.040000
9.721400               47.014000                 -4.291600
9.846000               47.599000                 -4.643800
9.970600               48.183000                 -4.759100
10.095300               48.768000                 -4.603300
10.219900               49.353000                 -4.442600
10.344500               50.055000                 -4.384100
10.469200               50.639000                 -4.348400
10.593800               51.224000                 -4.291600
10.718400               51.809000                 -4.265600
10.843100               52.511000                 -4.215300
10.967700               53.095000                 -4.119600
11.092300               53.680000                 -4.012400
11.217000               54.265000                 -3.924800
11.341600               54.850000                 -3.911800
11.466200               55.551000                 -3.918300
11.590800               56.136000                 -3.929600
11.715500               56.721000                 -4.203900
11.840100               57.422000                 -4.882400
11.964700               58.007000                 -5.046400
12.089400               58.592000                 -5.069100
12.214000               59.177000                 -5.134000
12.338600               59.878000                 -5.281700
12.463300               60.463000                 -5.539800
12.587900               61.048000                 -5.533300
12.712500               61.983000                 -5.343400
12.837200               62.451000                 -5.137300
12.961800               63.387000                 -5.143800
13.086400               63.738000                 -5.369400
13.211100               64.556000                 -5.512200
13.335700               65.258000                 -5.513800
13.460300               65.726000                 -5.435900
13.585000               66.428000                 -5.369400
13.709600               67.012000                 -5.198900
13.834200               67.597000                 -4.966800
13.958900               68.182000                 -4.752600
14.083500               68.767000                 -4.559400
14.208100               69.468000                 -4.411700
14.332800               70.053000                 -4.333800
14.457400               70.755000                 -4.283500
14.582000               71.340000                 -4.169900
14.706700               71.924000                 -4.051400
14.831300               72.509000                 -3.954000
14.955900               73.094000                 -3.864700
15.080600               73.796000                 -3.777100
15.205200               74.380000                 -3.699100
15.329800               74.965000                 -3.618000
15.454500               75.667000                 -3.579000
15.579100               76.251000                 -3.606600
15.703700               76.836000                 -3.694300
15.828400               77.421000                 -3.760800
15.953000               78.006000                 -3.775400
16.077600               78.707000                 -3.678000
16.202300               79.292000                 -3.549800
16.326900               79.877000                 -3.452400
16.451500               80.462000                 -3.415100
16.576200               81.163000                 -3.413500
16.700800               81.748000                 -3.418400
16.825400               82.333000                 -3.423200
16.950100               83.034000                 -3.457300
17.074700               83.619000                 -3.493000
17.199300               84.204000                 -3.509300
17.324000               84.789000                 -3.509300
17.448600               85.374000                 -3.496300
17.573200               86.075000                 -3.540100
17.697900               86.660000                 -3.655300
17.822500               87.245000                 -3.746200
17.947100               87.829000                 -3.824100
18.071800               88.414000                 -3.924800
18.196400               89.233000                 -3.996200
18.321000               89.818000                 -3.989700
18.445700               90.285000                 -3.960500
18.570300               90.987000                 -3.877700
18.694900               91.455000                 -3.764100
18.819500               92.157000                 -3.595300
18.944200               92.741000                 -3.452400
19.068800               93.326000                 -3.450800
19.193400               93.911000                 -3.572600
19.318100               94.612000                 -3.718600
19.442700               95.197000                 -3.955600
19.567300               95.782000                 -4.247800
19.692000               96.367000                 -4.445800
19.816600               96.951000                 -4.465300
19.941200               98.121000                 -4.317600
20.065900               98.589000                 -4.082200
20.190500               99.057000                 -3.877700
20.315100               99.875000                 -3.781900
20.439800               100.460000                 -3.785200
20.564400               101.160000                 -3.757600
20.689000               101.750000                 -3.650500
20.813700               102.450000                 -3.527100
20.938300               103.030000                 -3.429700
21.062900               103.620000                 -3.366400
21.187600               104.200000                 -3.334000
21.312200               104.790000                 -3.346900
21.436800               105.490000                 -3.395600
21.561500               106.070000                 -3.455700
21.686100               106.660000                 -3.483300
21.810700               107.240000                 -3.514100
21.935400               107.940000                 -3.545000
22.060000               108.530000                 -3.588800
22.184600               109.110000                 -3.640700
22.309300               109.700000                 -3.637500
22.433900               110.280000                 -3.553100
22.558500               110.990000                 -3.465400
22.683200               111.570000                 -3.395600
22.807800               112.160000                 -3.368000
22.932400               112.740000                 -3.402100
23.057100               113.440000                 -3.423200
23.181700               114.030000                 -3.372900
23.306300               114.610000                 -3.249500
23.431000               115.200000                 -3.132700
23.555600               115.900000                 -3.064500
23.680200               116.480000                 -3.025500
