

Цикл № 1
Шаг  № 1
Точек  643
Линейная потенцио. развертка , Скорость развертки 5,0001 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.124600               -0.116950                 -19.724000
0.249300               -0.818650                 -15.896000
0.373900               -1.403400                 -13.493000
0.498500               -1.988200                 -11.820000
0.623200               -2.923800                 -10.612000
0.747800               -3.625400                 -9.712900
0.872400               -4.210200                 -9.002000
0.997100               -4.795000                 -8.406300
1.121700               -5.496600                 -7.899900
1.246300               -5.964500                 -7.497300
1.371000               -6.549200                 -7.245700
1.495600               -7.133900                 -7.268500
1.620200               -7.718700                 -7.294400
1.744900               -8.420400                 -7.197000
1.869500               -9.122100                 -7.023400
1.994100               -9.706800                 -6.784800
2.118800               -10.409000                 -6.614300
2.243400               -11.227000                 -6.463400
2.368000               -12.163000                 -6.190700
2.492700               -12.864000                 -5.877400
2.617300               -13.917000                 -5.640400
2.741900               -14.736000                 -5.552800
2.866600               -15.671000                 -5.556000
2.991200               -16.373000                 -5.564100
3.115800               -17.075000                 -5.560900
3.240500               -17.659000                 -5.544700
3.365100               -18.127000                 -5.505700
3.489700               -18.829000                 -5.442400
3.614400               -19.063000                 -5.330400
3.739000               -19.531000                 -5.198900
3.863600               -20.115000                 -5.046400
3.988200               -20.700000                 -4.914900
4.112900               -21.285000                 -4.828900
4.237500               -21.870000                 -4.760700
4.362100               -22.454000                 -4.700600
4.486800               -23.039000                 -4.614600
4.611400               -23.507000                 -4.543200
4.736000               -24.326000                 -4.501000
4.860700               -24.910000                 -4.488000
4.985300               -25.495000                 -4.505900
5.109900               -26.080000                 -4.505900
5.234600               -26.665000                 -4.502600
5.359200               -27.249000                 -4.492900
5.483800               -27.951000                 -4.421500
5.608500               -28.536000                 -4.325700
5.733100               -29.121000                 -4.251000
5.857700               -29.705000                 -4.212100
5.982400               -30.290000                 -4.228300
6.107000               -30.992000                 -4.290000
6.231600               -31.576000                 -4.354900
6.356300               -32.161000                 -4.380900
6.480900               -32.746000                 -4.379200
6.605500               -33.331000                 -4.358200
6.730200               -34.032000                 -4.296500
6.854800               -34.617000                 -4.195800
6.979400               -35.202000                 -4.101700
7.104100               -35.787000                 -4.035100
7.228700               -36.488000                 -3.973500
7.353300               -37.073000                 -3.902100
7.478000               -37.658000                 -3.827400
7.602600               -38.360000                 -3.756000
7.727200               -38.944000                 -3.692700
7.851900               -39.529000                 -3.674800
7.976500               -40.114000                 -3.721900
8.101100               -40.816000                 -3.895600
8.225800               -41.517000                 -4.067600
8.350400               -42.219000                 -4.079000
8.475000               -42.687000                 -4.018900
8.599700               -43.272000                 -3.997800
8.724300               -43.739000                 -4.020500
8.848900               -44.909000                 -3.984800
8.973600               -45.377000                 -3.869600
9.098200               -45.844000                 -3.744600
9.222800               -46.663000                 -3.648800
9.347500               -47.248000                 -3.598500
9.472100               -47.716000                 -3.551400
9.596700               -48.534000                 -3.535200
9.721400               -49.119000                 -3.613100
9.846000               -49.704000                 -3.747900
9.970600               -50.172000                 -3.864700
10.095300               -50.990000                 -3.916700
10.219900               -51.575000                 -3.921500
10.344500               -52.160000                 -3.893900
10.469200               -52.745000                 -3.833900
10.593800               -53.446000                 -3.757600
10.718400               -54.031000                 -3.708900
10.843100               -54.616000                 -3.679700
10.967700               -55.200000                 -3.668300
11.092300               -55.785000                 -3.645600
11.217000               -56.487000                 -3.572600
11.341600               -57.072000                 -3.507600
11.466200               -57.656000                 -3.486500
11.590800               -58.241000                 -3.530300
11.715500               -58.826000                 -3.692700
11.840100               -59.411000                 -3.824100
11.964700               -60.112000                 -3.884200
12.089400               -60.697000                 -3.879300
12.214000               -61.282000                 -3.866300
12.338600               -61.867000                 -3.908500
12.463300               -62.568000                 -3.994600
12.587900               -63.153000                 -4.043300
12.712500               -63.738000                 -4.038400
12.837200               -64.323000                 -4.001100
12.961800               -64.907000                 -4.025400
13.086400               -65.609000                 -4.053000
13.211100               -66.194000                 -4.048100
13.335700               -66.778000                 -4.005900
13.460300               -67.363000                 -3.947500
13.585000               -67.948000                 -3.984800
13.709600               -68.650000                 -4.176400
13.834200               -69.234000                 -4.363000
13.958900               -69.936000                 -4.486400
14.083500               -70.521000                 -4.660100
14.208100               -71.106000                 -4.798000
14.332800               -71.690000                 -4.794800
14.457400               -72.392000                 -4.583800
14.582000               -72.977000                 -4.268900
14.706700               -73.678000                 -4.030300
14.831300               -74.263000                 -3.950700
14.955900               -75.082000                 -3.893900
15.080600               -75.667000                 -3.825800
15.205200               -76.017000                 -3.788400
15.329800               -77.070000                 -3.788400
15.454500               -77.655000                 -3.790000
15.579100               -78.240000                 -3.752700
15.703700               -78.824000                 -3.686200
15.828400               -79.526000                 -3.614700
