

Цикл № 1
Шаг  № 1
Точек  640
Линейная потенцио. развертка , ЭДС 272,03мВ, Скорость развертки 5,0001 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.124600               270.740000                 -0.102260
0.249300               271.320000                 0.069800
0.373900               272.030000                 0.134720
0.498500               272.610000                 0.196400
0.623200               273.190000                 0.243470
0.747800               273.780000                 0.272690
0.872400               274.480000                 0.301910
0.997100               275.070000                 0.340860
1.121700               275.650000                 0.358720
1.246300               276.240000                 0.373320
1.371000               276.820000                 0.391180
1.495600               277.520000                 0.420400
1.620200               278.110000                 0.435000
1.744900               278.690000                 0.452860
1.869500               279.280000                 0.464220
1.994100               279.980000                 0.478830
2.118800               280.560000                 0.495060
2.243400               281.150000                 0.506420
2.368000               281.730000                 0.530770
2.492700               282.320000                 0.568100
2.617300               282.900000                 0.587580
2.741900               283.600000                 0.608680
2.866600               284.310000                 0.644390
2.991200               284.890000                 0.654130
3.115800               285.590000                 0.657370
3.240500               286.180000                 0.659000
3.365100               286.880000                 0.655750
3.489700               287.580000                 0.659000
3.614400               288.280000                 0.657370
3.739000               288.980000                 0.660620
3.863600               289.690000                 0.660620
3.988200               290.270000                 0.663870
4.112900               290.860000                 0.668740
4.237500               291.440000                 0.671980
4.362100               291.790000                 0.675230
4.486800               292.730000                 0.683350
4.611400               293.310000                 0.688210
4.736000               293.780000                 0.696330
4.860700               294.480000                 0.697950
4.985300               295.180000                 0.709320
5.109900               295.770000                 0.715810
5.234600               296.350000                 0.722300
5.359200               296.940000                 0.717430
5.483800               297.640000                 0.735290
5.608500               298.220000                 0.736910
5.733100               298.810000                 0.727170
5.857700               299.510000                 0.710940
5.982400               300.090000                 0.719050
6.107000               300.680000                 0.715810
6.231600               301.260000                 0.727170
6.356300               301.850000                 0.723920
6.480900               302.550000                 0.733660
6.605500               303.130000                 0.728790
6.730200               303.720000                 0.732040
6.854800               304.420000                 0.727170
6.979400               305.010000                 0.732040
7.104100               305.590000                 0.740160
7.228700               306.290000                 0.746650
7.353300               307.110000                 0.745020
7.478000               307.460000                 0.756390
7.602600               308.050000                 0.761260
7.727200               308.870000                 0.771000
7.851900               309.450000                 0.771000
