

Цикл № 1
Шаг  № 1
Точек  642
Линейная потенцио. развертка , ЭДС 272,49мВ, Скорость развертки 5,0001 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.124600               271.320000                 -0.178550
0.249300               270.620000                 -0.285670
0.373900               269.920000                 -0.334370
0.498500               269.450000                 -0.360340
0.623200               268.520000                 -0.379820
0.747800               268.170000                 -0.412280
0.872400               267.350000                 -0.428510
0.997100               266.880000                 -0.447990
1.121700               266.060000                 -0.467470
1.246300               265.240000                 -0.490190
1.371000               264.660000                 -0.504800
1.495600               264.070000                 -0.522650
1.620200               263.490000                 -0.540510
1.744900               262.790000                 -0.551870
1.869500               262.320000                 -0.559990
1.994100               261.620000                 -0.566480
2.118800               261.030000                 -0.579460
2.243400               260.450000                 -0.585960
2.368000               259.750000                 -0.594070
2.492700               259.160000                 -0.602190
2.617300               258.580000                 -0.602190
2.741900               257.990000                 -0.621670
2.866600               257.410000                 -0.629780
2.991200               256.700000                 -0.634650
3.115800               256.120000                 -0.647640
3.240500               255.540000                 -0.671980
3.365100               254.830000                 -0.678480
3.489700               254.250000                 -0.681720
3.614400               253.660000                 -0.681720
3.739000               253.080000                 -0.680100
3.863600               252.500000                 -0.681720
3.988200               251.910000                 -0.680100
4.112900               251.210000                 -0.691460
4.237500               250.620000                 -0.689840
4.362100               250.040000                 -0.696330
4.486800               249.450000                 -0.696330
4.611400               248.750000                 -0.704450
4.736000               248.170000                 -0.706070
4.860700               247.580000                 -0.701200
4.985300               247.000000                 -0.701200
5.109900               246.410000                 -0.709320
5.234600               245.480000                 -0.709320
5.359200               244.890000                 -0.717430
5.483800               244.540000                 -0.717430
5.608500               243.720000                 -0.728790
5.733100               243.260000                 -0.740160
5.857700               242.670000                 -0.749890
5.982400               242.090000                 -0.756390
6.107000               241.500000                 -0.766130
6.231600               240.920000                 -0.762880
6.356300               240.100000                 -0.756390
6.480900               239.400000                 -0.746650
6.605500               238.930000                 -0.745020
6.730200               238.110000                 -0.736910
6.854800               237.290000                 -0.740160
6.979400               236.820000                 -0.740160
7.104100               236.240000                 -0.745020
7.228700               235.770000                 -0.741780
7.353300               235.070000                 -0.741780
7.478000               234.490000                 -0.738530
7.602600               233.900000                 -0.738530
7.727200               233.080000                 -0.732040
7.851900               232.610000                 -0.741780
7.976500               231.910000                 -0.748270
8.101100               231.330000                 -0.753140
8.225800               230.620000                 -0.754760
8.350400               230.040000                 -0.753140
8.475000               229.460000                 -0.749890
8.599700               228.750000                 -0.751520
8.724300               228.170000                 -0.767750
8.848900               227.590000                 -0.779110
8.973600               227.000000                 -0.787230
9.098200               226.410000                 -0.806700
9.222800               225.710000                 -0.822940
9.347500               225.130000                 -0.857020
9.472100               224.540000                 -0.865140
9.596700               223.840000                 -0.878120
9.721400               223.260000                 -0.878120
9.846000               222.670000                 -0.886240
9.970600               222.090000                 -0.882990
10.095300               221.500000                 -0.889490
10.219900               220.800000                 -0.913830
10.344500               220.220000                 -0.939800
10.469200               219.630000                 -0.957660
10.593800               219.050000                 -0.944670
10.718400               218.350000                 -0.926820
10.843100               217.760000                 -0.908960
10.967700               217.180000                 -0.886240
11.092300               216.590000                 -0.868380
11.217000               216.010000                 -0.855400
11.341600               215.310000                 -0.847280
11.466200               214.720000                 -0.848910
11.590800               214.130000                 -0.845660
11.715500               213.550000                 -0.837540
11.840100               212.970000                 -0.821310
11.964700               212.260000                 -0.813200
12.089400               211.560000                 -0.800210
12.214000               210.980000                 -0.798590
12.338600               210.160000                 -0.808330
12.463300               209.570000                 -0.831050
12.587900               208.870000                 -0.847280
12.712500               208.290000                 -0.860270
12.837200               207.470000                 -0.850530
12.961800               206.880000                 -0.834300
13.086400               206.300000                 -0.819690
13.211100               205.720000                 -0.803460
13.335700               205.130000                 -0.793720
13.460300               204.430000                 -0.782360
13.585000               203.840000                 -0.772620
13.709600               203.260000                 -0.779110
13.834200               202.670000                 -0.798590
13.958900               202.090000                 -0.831050
14.083500               201.390000                 -0.865140
14.208100               200.800000                 -0.920320
14.332800               200.100000                 -0.982000
14.457400               199.630000                 -0.999860
14.582000               199.050000                 -0.991740
14.706700               198.350000                 -0.985250
14.831300               197.760000                 -0.975510
14.955900               197.180000                 -0.964150
15.080600               196.590000                 -0.954410
15.205200               195.890000                 -0.949540
15.329800               195.310000                 -0.921950
15.454500               194.720000                 -0.899220
15.579100               194.020000                 -0.873250
15.703700               193.440000                 -0.850530
15.828400               192.850000                 -0.834300
15.953000               192.270000                 -0.824560
16.077600               191.680000                 -0.811570
16.202300               190.980000                 -0.800210
16.326900               190.280000                 -0.795340
16.451500               189.690000                 -0.777490
16.576200               189.220000                 -0.759630
16.700800               188.410000                 -0.751520
16.825400               187.940000                 -0.746650
16.950100               187.240000                 -0.743400
17.074700               186.530000                 -0.745020
17.199300               185.720000                 -0.769370
17.324000               185.370000                 -0.780730
17.448600               184.550000                 -0.788850
17.573200               184.080000                 -0.788850
17.697900               183.260000                 -0.775860
17.822500               182.560000                 -0.766130
17.947100               181.970000                 -0.749890
18.071800               181.390000                 -0.738530
18.196400               180.810000                 -0.723920
18.321000               180.100000                 -0.707690
18.445700               179.520000                 -0.704450
18.570300               178.930000                 -0.696330
18.694900               178.350000                 -0.691460
18.819500               177.650000                 -0.680100
18.944200               177.060000                 -0.673610
19.068800               176.480000                 -0.670360
19.193400               175.890000                 -0.657370
19.318100               175.310000                 -0.657370
19.442700               174.610000                 -0.652510
19.567300               174.020000                 -0.650880
19.692000               173.440000                 -0.660620
19.816600               172.850000                 -0.670360
19.941200               172.270000                 -0.675230
20.065900               171.570000                 -0.673610
20.190500               170.980000                 -0.675230
20.315100               170.400000                 -0.680100
20.439800               169.810000                 -0.706070
20.564400               169.110000                 -0.756390
20.689000               168.530000                 -0.787230
20.813700               167.940000                 -0.796970
20.938300               167.350000                 -0.806700
21.062900               166.770000                 -0.813200
21.187600               166.190000                 -0.818070
21.312200               165.480000                 -0.816440
21.436800               164.900000                 -0.814820
21.561500               164.310000                 -0.827810
21.686100               163.610000                 -0.845660
21.810700               163.030000                 -0.863510
21.935400               162.440000                 -0.863510
22.060000               161.860000                 -0.853780
22.184600               161.270000                 -0.835920
22.309300               160.570000                 -0.826180
22.433900               159.990000                 -0.814820
22.558500               159.400000                 -0.811570
22.683200               158.820000                 -0.801840
22.807800               158.120000                 -0.782360
22.932400               157.530000                 -0.764500
23.057100               156.950000                 -0.764500
23.181700               156.360000                 -0.790470
23.306300               155.780000                 -0.809950
23.431000               154.960000                 -0.826180
23.555600               154.260000                 -0.845660
23.680200               153.790000                 -0.860270
23.804900               153.200000                 -0.866760
23.929500               152.390000                 -0.861890
24.054100               151.570000                 -0.850530
24.178800               151.220000                 -0.837540
24.303400               150.630000                 -0.821310
24.428000               149.810000                 -0.809950
24.552700               149.230000                 -0.796970
24.677300               148.530000                 -0.785600
24.801900               147.940000                 -0.785600
24.926600               147.470000                 -0.790470
25.051200               146.660000                 -0.813200
25.175800               146.070000                 -0.845660
25.300500               145.490000                 -0.891110
25.425100               144.900000                 -0.939800
25.549700               144.200000                 -0.999860
25.674400               143.620000                 -1.042100
25.799000               143.030000                 -1.048600
25.923600               142.440000                 -1.024200
