

Цикл № 1
Шаг  № 1
Точек  3085
Циклическая потенцио. развертка , ЭДС 36,805мВ, Скорость развертки 100,12 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.001900               36.881000                 -11.630000
0.003900               36.957000                 -0.511290
0.005800               37.109000                 11.687000
0.007800               37.033000                 32.650000
0.009700               37.338000                 53.191000
0.011600               37.719000                 72.198000
0.013600               37.871000                 89.784000
0.015500               38.100000                 112.740000
0.017500               38.100000                 126.080000
0.019400               38.481000                 136.040000
0.021300               38.862000                 148.790000
0.023300               38.862000                 163.320000
0.025200               39.014000                 171.780000
0.027200               39.319000                 191.180000
0.036800               40.081000                 286.690000
0.038700               40.310000                 293.160000
0.040700               40.615000                 305.580000
0.042600               40.996000                 318.760000
0.044600               40.767000                 327.980000
0.046500               40.996000                 342.680000
0.048400               41.377000                 365.380000
0.050400               41.300000                 384.430000
0.052300               41.834000                 402.260000
0.054300               41.986000                 420.770000
0.056200               41.910000                 439.510000
0.058100               42.215000                 448.120000
0.060100               42.139000                 458.100000
0.062000               42.824000                 469.760000
0.064000               42.748000                 483.170000
0.065900               42.977000                 491.010000
0.067800               43.129000                 512.880000
0.069800               42.977000                 534.140000
0.071700               43.663000                 553.870000
0.073700               44.044000                 570.250000
0.075600               43.891000                 593.870000
0.077500               44.044000                 602.090000
0.079500               44.272000                 609.710000
0.081400               44.577000                 621.290000
0.083400               44.958000                 635.620000
0.085300               44.958000                 640.640000
0.087200               45.187000                 661.670000
0.089200               45.415000                 684.220000
0.091100               45.720000                 703.190000
0.093100               45.949000                 719.190000
0.095000               45.949000                 743.190000
0.096900               46.101000                 753.860000
0.098900               46.177000                 759.640000
0.100800               46.406000                 771.230000
0.102800               46.558000                 784.560000
0.104700               47.015000                 792.100000
0.106700               47.168000                 809.550000
0.108600               47.244000                 832.170000
0.110500               47.549000                 851.140000
0.112500               47.777000                 868.060000
0.114400               48.082000                 888.400000
0.116400               48.311000                 902.800000
0.118300               48.387000                 911.100000
0.120200               48.616000                 921.230000
0.122200               48.768000                 933.800000
0.124100               48.920000                 944.470000
0.126100               49.225000                 955.210000
0.128000               49.073000                 976.470000
0.129900               49.225000                 997.120000
0.131900               49.682000                 1015.400000
0.133800               50.292000                 1032.600000
0.135800               50.368000                 1054.000000
0.137700               50.140000                 1063.200000
0.139600               50.521000                 1070.600000
0.141600               50.597000                 1082.400000
0.143500               50.902000                 1095.600000
0.145500               51.206000                 1101.600000
0.147400               51.283000                 1123.200000
0.149300               51.587000                 1145.900000
0.151300               51.511000                 1163.300000
0.153200               52.045000                 1180.500000
0.155200               52.578000                 1204.300000
0.157100               52.197000                 1214.600000
0.159000               52.578000                 1220.600000
0.161000               52.349000                 1232.400000
0.162900               52.730000                 1244.800000
0.164900               53.111000                 1251.700000
0.166800               53.188000                 1269.500000
0.168700               53.111000                 1293.500000
0.170700               53.188000                 1311.000000
0.172600               53.645000                 1328.500000
0.174600               53.950000                 1350.000000
0.176500               53.950000                 1363.300000
0.178400               54.407000                 1370.400000
0.180400               54.407000                 1381.800000
0.182300               54.559000                 1394.200000
0.184300               54.864000                 1404.200000
0.186200               54.940000                 1417.300000
0.188100               55.245000                 1439.000000
0.190100               55.397000                 1458.500000
0.192000               55.626000                 1476.900000
0.194000               55.931000                 1493.800000
0.195900               56.007000                 1514.800000
0.197800               56.236000                 1523.200000
0.199800               56.617000                 1531.700000
0.201700               56.693000                 1543.000000
0.203700               56.998000                 1557.200000
0.205600               56.998000                 1563.600000
0.207500               57.226000                 1584.600000
0.209500               57.455000                 1606.500000
0.211400               57.607000                 1625.900000
0.213400               58.141000                 1641.300000
0.215300               57.912000                 1665.700000
0.217200               58.369000                 1674.100000
0.219200               58.217000                 1681.300000
0.221100               58.598000                 1692.700000
0.223100               58.903000                 1705.900000
0.225000               58.826000                 1711.700000
0.226900               58.903000                 1730.200000
0.228900               59.512000                 1754.800000
0.238500               60.579000                 1835.400000
0.240500               60.503000                 1844.200000
0.242400               60.198000                 1853.100000
0.244300               61.036000                 1867.500000
0.246300               60.960000                 1876.400000
0.248200               61.493000                 1894.800000
0.250200               61.570000                 1918.900000
0.252100               61.570000                 1937.400000
0.254000               61.570000                 1954.300000
0.256000               62.103000                 1977.600000
0.257900               62.408000                 1986.500000
0.259900               62.636000                 1992.900000
0.261800               62.408000                 2003.300000
0.263700               63.094000                 2018.600000
0.265700               63.017000                 2023.400000
0.267600               63.094000                 2042.700000
0.269600               63.170000                 2066.800000
0.271500               63.779000                 2086.100000
0.273400               63.779000                 2102.200000
0.275400               64.160000                 2125.500000
0.277300               64.541000                 2138.300000
0.279300               64.465000                 2142.300000
0.281200               64.541000                 2153.600000
0.283100               64.770000                 2168.100000
0.285100               65.075000                 2174.500000
