

Цикл № 1
Шаг  № 1
Точек  549
Циклическая потенцио. развертка , ЭДС 800,7мВ, Скорость развертки 100,12 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.074800               804.320000                 0.146080
0.149600               811.840000                 0.202890
0.224300               819.330000                 0.235360
0.299100               826.770000                 0.246180
0.373900               834.290000                 0.278640
0.448700               841.710000                 0.292170
0.523500               849.250000                 0.313810
0.598200               856.720000                 0.321920
0.673000               864.260000                 0.335450
0.747800               871.800000                 0.367910
0.822600               879.250000                 0.384150
0.897400               886.740000                 0.411200
0.972100               894.210000                 0.427430
1.046900               901.670000                 0.457190
1.121700               909.220000                 0.486940
1.196500               916.690000                 0.535640
1.271300               924.150000                 0.559990
1.346000               931.620000                 0.614090
1.420800               939.160000                 0.668200
1.495600               946.680000                 0.725010
1.570400               954.200000                 0.792640
1.645200               961.570000                 0.879210
1.719900               969.090000                 0.973890
1.794700               976.580000                 1.074000
1.869500               984.100000                 1.195700
1.944300               991.510000                 1.317500
2.019100               999.030000                 1.431100
2.093800               1006.500000                 1.547400
2.168600               1014.000000                 1.666400
2.243400               1021.500000                 1.758400
2.318200               1029.000000                 1.863900
2.392900               1036.500000                 1.942400
2.467700               1044.000000                 2.007300
2.542500               1051.500000                 2.093900
2.617300               1059.000000                 2.166900
2.692100               1066.400000                 2.264300
2.766800               1073.900000                 2.380600
2.841600               1081.300000                 2.532100
2.916400               1088.900000                 2.724200
2.991200               1096.400000                 2.992000
3.066000               1103.900000                 3.362600
3.140700               1111.300000                 3.873900
3.215500               1118.800000                 4.577300
3.290300               1126.300000                 5.562000
3.365100               1133.800000                 6.920000
3.439900               1141.200000                 8.767700
3.514600               1148.700000                 11.248000
3.589400               1156.200000                 14.503000
3.664200               1163.700000                 18.663000
3.739000               1171.200000                 23.866000
3.813800               1178.700000                 30.228000
3.888500               1186.100000                 37.795000
3.963300               1193.700000                 46.509000
4.038100               1201.000000                 56.356000
4.112900               1208.600000                 67.228000
4.187700               1216.000000                 79.017000
4.262400               1223.500000                 91.546000
4.337200               1230.900000                 104.780000
4.412000               1238.300000                 118.600000
4.486800               1245.800000                 132.860000
4.561600               1253.400000                 147.600000
4.636300               1260.900000                 162.690000
4.711100               1268.300000                 178.060000
4.793600               1283.600000                 209.840000
4.868400               1291.100000                 225.660000
4.943200               1298.600000                 241.380000
5.017900               1306.100000                 257.020000
5.092700               1313.500000                 272.440000
5.167500               1321.000000                 287.680000
5.242300               1328.500000                 302.430000
5.317100               1336.000000                 318.380000
5.391800               1343.500000                 333.440000
5.466600               1351.000000                 347.510000
5.541400               1358.500000                 360.890000
5.616200               1366.000000                 373.510000
5.691000               1373.400000                 386.360000
5.765700               1380.900000                 399.160000
5.840500               1388.400000                 408.890000
5.915300               1395.900000                 422.470000
5.990100               1403.300000                 433.700000
6.064900               1410.900000                 441.500000
6.139600               1418.300000                 451.600000
6.214400               1425.800000                 458.180000
6.289200               1433.300000                 464.830000
6.364000               1440.700000                 472.400000
6.438800               1448.300000                 479.280000
6.513500               1455.700000                 483.780000
6.588300               1463.100000                 487.380000
6.663100               1470.600000                 493.150000
6.737900               1478.100000                 509.020000
6.812600               1485.600000                 512.170000
6.887400               1493.100000                 519.910000
6.962200               1500.500000                 530.730000
7.037000               1508.000000                 532.660000
7.111800               1515.400000                 537.690000
7.186500               1522.900000                 544.290000
7.261300               1530.500000                 542.820000
7.336100               1537.900000                 548.210000
7.410900               1545.400000                 552.980000
7.485700               1552.800000                 549.450000
7.560400               1560.300000                 556.030000
7.635200               1567.800000                 557.750000
7.710000               1575.300000                 554.960000
7.784800               1582.800000                 565.190000
7.859600               1590.200000                 563.520000
7.934300               1597.700000                 564.740000
8.009100               1605.100000                 588.300000
8.083900               1612.600000                 596.130000
8.158700               1620.000000                 601.100000
8.233500               1627.600000                 607.200000
