

Цикл № 1
Шаг  № 1
Точек  1207
Линейная потенцио. развертка , Скорость развертки 10,002 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.124600               -0.233900                 -526.490000
0.249300               -1.637300                 -511.860000
0.373900               -2.806800                 -511.860000
0.498500               -3.976300                 -511.860000
0.623200               -5.262700                 -511.860000
0.747800               -6.549200                 -511.860000
0.872400               -7.718700                 -511.860000
0.997100               -9.005200                 -511.860000
1.121700               -10.643000                 -511.860000
1.246300               -12.163000                 -526.490000
1.371000               -13.800000                 -511.860000
1.495600               -15.554000                 -570.360000
1.620200               -16.841000                 -511.860000
1.744900               -18.010000                 -526.490000
1.869500               -19.063000                 -555.740000
1.994100               -19.998000                 -584.990000
2.118800               -21.168000                 -584.990000
2.243400               -22.337000                 -584.990000
2.368000               -23.507000                 -584.990000
2.492700               -24.676000                 -599.610000
2.617300               -25.963000                 -599.610000
2.741900               -27.249000                 -614.240000
2.866600               -28.419000                 -643.490000
2.991200               -29.705000                 -643.490000
3.115800               -30.875000                 -658.110000
3.240500               -32.044000                 -658.110000
3.365100               -33.331000                 -658.110000
3.489700               -34.734000                 -672.740000
3.614400               -35.787000                 -687.360000
3.739000               -37.073000                 -672.740000
3.863600               -38.243000                 -701.990000
3.988200               -39.880000                 -716.610000
4.112900               -40.932000                 -701.990000
4.237500               -42.336000                 -731.230000
4.362100               -43.505000                 -731.230000
4.486800               -44.792000                 -731.230000
4.611400               -45.844000                 -731.230000
4.736000               -47.131000                 -731.230000
4.860700               -48.417000                 -745.860000
4.985300               -49.470000                 -775.110000
5.109900               -50.873000                 -775.110000
5.234600               -52.160000                 -804.360000
5.359200               -53.329000                 -818.980000
5.483800               -54.616000                 -833.610000
5.608500               -55.668000                 -818.980000
5.733100               -56.955000                 -833.610000
5.857700               -58.124000                 -877.480000
5.982400               -59.411000                 -877.480000
6.107000               -60.580000                 -892.110000
6.231600               -61.983000                 -921.360000
6.356300               -63.153000                 -935.980000
6.480900               -64.323000                 -950.610000
6.605500               -65.609000                 -950.610000
6.730200               -66.778000                 -1009.100000
6.854800               -67.948000                 -1023.700000
6.979400               -69.234000                 -1023.700000
7.104100               -70.638000                 -1082.200000
7.228700               -71.807000                 -1082.200000
7.353300               -72.977000                 -1155.400000
7.478000               -74.263000                 -1170.000000
7.602600               -75.550000                 -1184.600000
7.727200               -76.953000                 -1228.500000
7.851900               -78.123000                 -1243.100000
7.976500               -79.526000                 -1301.600000
8.101100               -80.695000                 -1374.700000
8.225800               -81.631000                 -1374.700000
8.350400               -82.684000                 -1316.200000
8.475000               -84.321000                 -1447.900000
8.599700               -85.490000                 -1477.100000
8.724300               -86.426000                 -1389.400000
8.848900               -88.063000                 -1418.600000
8.973600               -89.350000                 -1433.200000
9.098200               -90.519000                 -1477.100000
9.222800               -91.689000                 -1535.600000
9.347500               -92.975000                 -1535.600000
9.472100               -94.262000                 -1594.100000
9.596700               -95.431000                 -1608.700000
9.721400               -96.718000                 -1681.800000
9.846000               -98.004000                 -1711.100000
9.970600               -99.290000                 -1798.800000
10.095300               -100.690000                 -1886.600000
10.219900               -101.630000                 -1842.700000
10.344500               -102.800000                 -1872.000000
10.469200               -104.200000                 -1915.800000
10.593800               -105.490000                 -1886.600000
10.718400               -106.660000                 -1857.300000
10.843100               -107.940000                 -1901.200000
10.967700               -109.470000                 -1930.500000
11.092300               -110.640000                 -1974.300000
11.217000               -111.800000                 -1989.000000
11.341600               -112.970000                 -2047.500000
11.466200               -114.380000                 -2062.100000
11.590800               -116.010000                 -2120.600000
11.715500               -116.950000                 -2164.500000
11.840100               -118.240000                 -2222.900000
11.964700               -119.640000                 -2266.800000
12.089400               -120.690000                 -2281.400000
12.214000               -121.980000                 -2339.900000
12.338600               -123.380000                 -2383.800000
12.463300               -124.550000                 -2398.400000
12.587900               -125.840000                 -2456.900000
12.712500               -127.010000                 -2486.200000
12.837200               -128.290000                 -2559.300000
12.961800               -129.460000                 -2617.800000
13.086400               -130.630000                 -2632.400000
13.211100               -131.920000                 -2705.600000
13.335700               -133.090000                 -2720.200000
13.460300               -134.380000                 -2793.300000
13.585000               -135.540000                 -2822.600000
13.709600               -136.720000                 -2895.700000
13.834200               -138.000000                 -2939.600000
13.958900               -139.170000                 -3027.300000
14.083500               -140.340000                 -3071.200000
14.208100               -141.510000                 -3129.700000
14.332800               -142.800000                 -3188.200000
14.457400               -144.080000                 -3275.900000
14.582000               -145.250000                 -3305.200000
14.706700               -146.540000                 -3363.700000
14.831300               -147.820000                 -3436.800000
14.955900               -148.990000                 -3495.300000
15.080600               -150.280000                 -3583.100000
15.205200               -151.800000                 -3656.200000
15.329800               -152.850000                 -3729.300000
15.454500               -154.140000                 -3802.400000
15.579100               -155.310000                 -3875.600000
15.703700               -156.710000                 -3948.700000
15.828400               -157.880000                 -4021.800000
15.953000               -159.050000                 -4094.900000
16.077600               -160.340000                 -4182.700000
16.202300               -161.390000                 -4182.700000
16.326900               -162.680000                 -4299.700000
16.451500               -163.850000                 -4416.700000
16.576200               -165.130000                 -4489.800000
16.700800               -166.190000                 -4577.500000
16.825400               -167.240000                 -4650.600000
16.950100               -168.290000                 -4723.800000
17.074700               -169.930000                 -4855.400000
17.199300               -171.100000                 -4899.300000
17.324000               -172.620000                 -5001.600000
17.448600               -173.790000                 -5104.000000
17.573200               -175.070000                 -5191.800000
