

Цикл № 1
Шаг  № 1
Точек  1001
Потенциостатический стационарный режим 170мВ
Время, с.              Потенциал, мВ            Ток, мкА
0.414200               169.910000                 5124.200000
0.813000               169.910000                 4764.100000
1.211900               169.880000                 4544.200000
1.610700               169.890000                 4374.200000
2.009500               169.880000                 4232.800000
2.408300               169.940000                 4111.500000
2.807200               169.900000                 4004.800000
3.206000               169.890000                 3910.100000
3.604800               169.900000                 3824.600000
4.003600               169.900000                 3746.900000
4.402500               169.890000                 3675.800000
4.801300               169.900000                 3610.800000
5.200100               169.900000                 3550.300000
5.598900               169.930000                 3494.100000
5.997800               169.930000                 3442.000000
6.396600               169.890000                 3393.600000
6.795400               169.910000                 3348.600000
7.194200               169.890000                 3306.100000
7.593100               169.880000                 3266.400000
7.991900               169.870000                 3229.400000
8.390700               169.880000                 3194.600000
8.789500               169.870000                 3161.900000
9.188400               169.900000                 3131.400000
9.587200               169.870000                 3102.400000
9.986000               169.870000                 3075.300000
10.384800               169.870000                 3049.400000
10.783700               169.880000                 3025.500000
11.182500               169.860000                 3002.700000
11.581300               169.870000                 2981.300000
11.980100               169.870000                 2961.300000
12.379000               169.870000                 2942.500000
12.777800               169.890000                 2925.000000
13.176600               169.870000                 2908.700000
13.575400               169.920000                 2893.200000
13.974300               169.880000                 2878.900000
14.373100               169.880000                 2865.400000
14.771900               169.880000                 2853.300000
15.170700               169.860000                 2841.900000
15.569600               169.880000                 2831.300000
15.968400               169.840000                 2821.700000
16.367200               169.860000                 2812.900000
16.766000               169.880000                 2805.100000
17.164900               169.910000                 2798.500000
17.563700               169.880000                 2791.800000
17.962500               169.870000                 2786.000000
18.361300               169.890000                 2780.500000
18.760200               169.860000                 2776.200000
19.159000               169.880000                 2771.700000
19.557800               169.890000                 2768.200000
19.956600               169.850000                 2764.900000
20.355500               169.870000                 2762.900000
20.754300               169.930000                 2761.100000
21.153100               169.880000                 2759.700000
21.551900               169.890000                 2757.700000
21.950800               169.870000                 2755.400000
22.349600               169.880000                 2755.100000
22.748400               169.870000                 2754.900000
23.147200               169.880000                 2754.500000
23.546100               169.870000                 2753.300000
23.944900               169.860000                 2751.600000
24.343700               169.880000                 2749.800000
24.742500               169.890000                 2748.100000
25.141400               169.910000                 2746.000000
25.540200               169.920000                 2744.000000
25.939000               169.910000                 2741.900000
26.337800               169.860000                 2740.000000
26.736700               169.870000                 2737.600000
27.135500               169.900000                 2735.700000
27.534300               169.870000                 2733.400000
27.933100               169.910000                 2731.300000
28.332000               169.860000                 2728.700000
28.730800               169.880000                 2726.300000
29.129600               169.910000                 2724.300000
29.528400               169.900000                 2721.600000
29.927300               169.860000                 2719.200000
30.326100               169.900000                 2716.300000
30.724900               169.870000                 2713.400000
31.123700               169.890000                 2710.700000
31.522600               169.880000                 2707.700000
31.921400               169.920000                 2704.300000
32.320200               169.930000                 2701.300000
32.719000               169.860000                 2698.300000
33.117900               169.900000                 2695.300000
33.516700               169.890000                 2692.300000
33.915500               169.920000                 2689.100000
34.314300               169.930000                 2685.800000
34.713200               169.890000                 2682.800000
35.112000               169.890000                 2679.400000
35.510800               169.910000                 2676.100000
